"Listing"

"WFR Listing"
"Created 09 March 2022 19:06"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months, %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Status"
12846607,9085558,"Maersk Karlskrona",636018800,"Karl","Liberia","Maersk","Costamare Shipping","Costamare Shipping","01-Nov-1996","01-Jun-1996","01-Sep-1993",34173,,,90456,42.8,14.52,,87.5,"$m","VLS IFO",240,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 54,900mkW total at 94rpm",74640,,,,24.6,18,,"Fully Cellular Container","East Coast North America (48.5 %)",21,318.24,,,,"Greece","In Service"
12846731,9085560,"Kokura",636017641,"Niledutch Panther","Liberia",,"Costamare Shipping","Costamare Shipping","01-Feb-1997",,"01-Sep-1993",34318,,"29-May-2020",90456,42.8,14.52,,87.5,"$m","VLS IFO",210,"1 x Diesel - MAN B. & W. 12K90MC Mk5 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 46,614mkW total at 89rpm",63377,,,,24.7,18,,"Fully Cellular Container",,,318.24,,,,"Greece","Dead/Demolished"
13010429,9153850,"Maersk Kiel",477711600,"P&O Nedlloyd Southampton","Hong Kong","Maersk","Maersk","A.P. Moller","01-Apr-1998",,"01-May-1996",28423,,,88669,42.8,14.03,,,,"VLS IFO",252,"1 x Diesel - Sulzer 12RTA96C-B - 2-stroke 12-cyl. 960mm x2500mm bore/stroke 68,640mkW total at 102rpm",93261,,,,24.5,8,,"Fully Cellular Container","Middle East (33.2 %)",24,299,,,,"Denmark","In Service"
13010553,9153862,"Maersk Kalmar",636020350,"P&O Nedlloyd Rotterdam","Liberia","Maersk","Technomar Shipping","Technomar Shipping","01-Jun-1998","13-Oct-1997","01-May-1996",28423,,,88669,42.8,14.04,,,,"VLS IFO",250,"1 x Diesel - Sulzer 12RTA96C-B - 2-stroke 12-cyl. 960mm x2500mm bore/stroke 65,880mkW total at 100rpm",89572,,,,24.5,8,,"Fully Cellular Container","Mediterranean / Black Sea (32.2 %)",21,299.9,,,,"Greece","In Service"
13010687,9162215,"Maersk Karachi",477728400,"P&O Nedlloyd Kobe","Hong Kong","Maersk","Maersk","A.P. Moller","01-Sep-1998","22-Dec-1997","04-Oct-1996",28423,,,88669,42.8,14,,,,"VLS IFO",250,"1 x Diesel - Sulzer 12RTA96C-B - 2-stroke 12-cyl. 960mm x2500mm bore/stroke 68,640mkW total at 102rpm",93261,,,,24.5,8,,"Fully Cellular Container","East Coast South America (54.3 %)",23,299.9,,,,"Denmark","In Service"
13010711,9162227,"Maersk Kimi",636020349,"P&O Nedlloyd Kowloon","Liberia","Maersk","Technomar Shipping","Technomar Shipping","01-Nov-1998","25-Nov-1997","04-Oct-1996",28423,,,88669,42.83,14.03,,,,"VLS IFO",250,"1 x Diesel - Sulzer 12RTA96C-B - 2-stroke 12-cyl. 960mm x2500mm bore/stroke 68,640mkW total at 102rpm",93261,,,,24.5,8,,"Fully Cellular Container","Mediterranean / Black Sea (30.9 %)",21,299.9,,,,"Greece","In Service"
12907241,9116577,"Ever Ultra",356349000,,"Panama","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-May-1996","10-Nov-1995","03-Nov-1994",24018,425,"28-Dec-2018",63388,40,12.7,,,,"VLS IFO",201,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,,25,8,,"Fully Cellular Container",,14,285,,,,"Taiwan","Dead/Demolished"
12907375,9116589,"Ever United",563400000,"LT United","Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Sep-1996","15-Feb-1996","03-Nov-1994",24018,,,63388,40,12.7,,,,"IFO 380",201,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,"Fitted",,"1 x Exhaust Scrubber - SOx - 2021 installation year, 1 x BWTS - Ballast Water Treatment System - COSCO (Weihai) BOS-700 at 700cu.m/hr - 2022 installation year",25,8,,"Fully Cellular Container","East Asia (44.0 %)",14,285,,,,"Taiwan","In Service"
12907409,9116591,"Ever Unison",565007000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Nov-1996","16-May-1996","03-Nov-1994",24039,,"09-Aug-2019",63388,40,12.7,,,,"IFO 380",201,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,,25,8,,"Fully Cellular Container",,14,285,,,,"Taiwan","Dead/Demolished"
12907533,9116606,"Ever Unique",564438000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Jan-1997","09-Aug-1996","03-Nov-1994",24048,,"09-Aug-2019",63388,40,12.7,,,,"IFO 380",201,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,,25,8,,"Fully Cellular Container",,14,285,,,,"Taiwan","Dead/Demolished"
12907667,9116618,"Vera",,"Ever Union","Palau",,"Unknown","Unknown","01-Apr-1997","01-Nov-1996","03-Nov-1994",23638,,"17-Apr-2019",63388,40,12.7,,,,"VLS IFO",201,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,,25,8,,"Fully Cellular Container",,14,285.01,,,,"Unknown","Dead/Demolished"
12861989,9102289,"OOCL California",477704000,,"Hong Kong","OOCL","OOCL","China COSCO Shipping","01-Aug-1995","19-Dec-1994","26-Nov-1993",,,,67625,40,14.03,,9,"JPYbn","VLS IFO",188,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,"1 x BWTS - Ballast Water Treatment System - Qingdao Headway HMT-1000 at 1000cu.m/hr - 2018 installation year",24.6,8,,"Fully Cellular Container","East Asia (66.0 %)",21,276.02,,,,"China P.R.","In Service"
12862065,9102291,"OOCL America",477719000,,"Hong Kong","OOCL","OOCL","China COSCO Shipping","01-Nov-1995","03-Apr-1995","26-Nov-1993",,,,67625,40,14.03,,9,"JPYbn","VLS IFO",188,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,"1 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-1000 at 1000cu.m/hr - 2022 installation year",24.6,8,,"Fully Cellular Container","East Asia (75.4 %)",21,276.02,,,,"China P.R.","In Service"
12834059,9074535,"Korea",511100192,"APL Korea","Palau",,"Unknown","Unknown","01-Aug-1995","04-Feb-1995",,,,"16-Aug-2019",66520,40,14,,80,"$m","IFO 380",178,"1 x Diesel - MAN B. & W. 11K90MC-C6 - 2-stroke 11-cyl. 900mm x2300mm bore/stroke 50,237mkW total at 104rpm",68310,,,"1 x HVEC -High Voltage External Connection 6600V at 60Hz",24.5,8,,"Fully Cellular Container",,21,276.3,,,,"Unknown","Dead/Demolished"
12834183,9074547,"Singapore",511100191,"APL Singapore","Palau",,"Unknown","Unknown","01-Nov-1995","03-Apr-1995",,,,"16-Aug-2019",66520,40,14,,80,"$m","IFO 380",178,"1 x Diesel - MAN B. & W. 11K90MC-C6 - 2-stroke 11-cyl. 900mm x2300mm bore/stroke 50,237mkW total at 104rpm",68310,,,"1 x HVEC -High Voltage External Connection 6600V at 60Hz",24.5,8,,"Fully Cellular Container",,21,276.3,,,,"Unknown","Dead/Demolished"
12834217,9077276,"Pineza",,"APL Philippines","Comoro Islands",,"Unknown","Unknown","01-Jan-1996","30-May-1995","10-May-1993",24073,471,"12-Oct-2018",65642,40,14,,80,"$m","IFO 380",178,"1 x Diesel - MAN B. & W. 11K90MC-C6 - 2-stroke 11-cyl. 900mm x2300mm bore/stroke 50,237mkW total at 104rpm",68310,,,"1 x HVEC -High Voltage External Connection 6600V at 60Hz",24.6,8,,"Fully Cellular Container",,21,276.3,,,,"Unknown","Dead/Demolished"
12834341,9074389,"APL China",248925000,,"Malta","APL","APL","CMA CGM","01-May-1995","12-Jul-1994",,,,"30-Apr-2020",66520,40,14,,90,"$m","VLS IFO",178,"1 x Diesel - MAN B. & W. 11K90MC-C6 - 2-stroke 11-cyl. 900mm x2300mm bore/stroke 50,237mkW total at 104rpm",68310,,,"1 x HVEC -High Voltage External Connection 6600V at 60Hz",24.6,8,,"Fully Cellular Container",,21,276.3,,,,"France","Dead/Demolished"
12834475,9074391,"Japan",511100168,"APL Japan","Palau",,"Unknown","Unknown","01-Aug-1995","30-Nov-1994",,24250,350,"28-Jun-2019",66520,40,14,,90,"$m","IFO 380",178,"1 x Diesel - MAN B. & W. 11K90MC-C6 - 2-stroke 11-cyl. 900mm x2300mm bore/stroke 50,237mkW total at 104rpm",68310,,,"1 x HVEC -High Voltage External Connection 6600V at 60Hz",24.6,8,,"Fully Cellular Container",,21,276.3,,,,"Unknown","Dead/Demolished"
12834509,9077123,"APL Thailand",636019126,,"Liberia","APL","APL","CMA CGM","01-Nov-1995","28-Feb-1995",,24250,380,"17-Jan-2020",66520,40,14,,90,"$m","IFO 380",178,"1 x Diesel - MAN B. & W. 11K90MC-C6 - 2-stroke 11-cyl. 900mm x2300mm bore/stroke 50,237mkW total at 104rpm",68310,,,"1 x HVEC -High Voltage External Connection 6600V at 60Hz",24,8,,"Fully Cellular Container",,21,276.3,,,,"France","Dead/Demolished"
12878453,9110377,"MSC Samantha",356249000,"Hyundai Independence","Panama","MSC","Eastern Pacific Shpg","Eastern Pacific Shpg","01-May-1996","04-Dec-1995","04-Mar-1994",22876,,,68363,40,14.02,,85,"$m","VLS IFO",210,"1 x Diesel - MAN B. & W. 12K90MC-C6 - 2-stroke 12-cyl. 900mm x2300mm bore/stroke 54,809mkW total at 104rpm",74520,"Pending",,"1 x Exhaust Scrubber - SOx (Pending) - 2022 installation year",25.6,7,,"Fully Cellular Container","West Coast Africa (63.8 %)",19,274.67,,,,"Singapore","In Service"
12878587,9110389,"MSC Katyayni",351675000,"Hyundai Liberty","Panama","MSC","Zodiac Maritime","Zodiac Maritime","01-Jun-1996",,"04-Mar-1994",22876,,,68363,40,14.02,,85,"$m","VLS IFO",202,"1 x Diesel - MAN B. & W. 12K90MC-C6 - 2-stroke 12-cyl. 900mm x2300mm bore/stroke 54,809mkW total at 104rpm",74520,,,"1 x BWTS - Ballast Water Treatment System - 2022 installation year",25.6,7,,"Fully Cellular Container","East Asia (26.6 %)",27,274.67,,,,"United Kingdom","In Service"
12878611,9110391,"MSC Dymphna",373517000,"Hyundai Discovery","Panama","MSC","Eastern Pacific Shpg","Eastern Pacific Shpg","01-Jul-1996","17-Jan-1996","04-Mar-1994",22876,,,68363,40,14.02,,85,"$m","VLS IFO",202,"1 x Diesel - MAN B. & W. 12K90MC-C6 - 2-stroke 12-cyl. 900mm x2300mm bore/stroke 54,809mkW total at 104rpm",74520,,,,25.6,7,,"Fully Cellular Container","West Coast Africa (51.9 %)",23,274.67,,,,"Singapore","Idle"
12836637,9074042,"MSC Polaris",636016066,"MSC Messina","Liberia","MSC","MSC","MSC","01-Feb-1995","13-Apr-1994",,,,,63014,37.1,13.03,,,,"IFO 380",170,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 43,620mkW total at 96.80rpm",59307,"Fitted",,"1 x BWTS - Ballast Water Treatment System - ERMA FIRST Erma First at 400cu.m/hr - 2021 installation year, 1 x Exhaust Scrubber - SOx - Zhejiang Energy - 2020 installation year",23.5,8,,"Fully Cellular Container","South East Asia (71.2 %)",22,299.95,,,,"Italy","Repairs"
14040737,7214624,"MSC Carla",,"Ladby","Panama","MSC","MSC","MSC","01-May-1972",,,25241,,,40912,32.29,11.91,,,,"IFO 380",279,"1 x Diesel - Gotaverken 850/1700VGS12U - 2-stroke 12-cyl. 850mm x1700mm bore/stroke  at 115rpm, 2 x Diesel - Gotaverken2-stroke 12-cyl. ",78500,,,,23.5,9,,"Fully Cellular Container",,,289.49,,,,"Italy","Total Loss"
12802911,9038907,"MSC Roberta",636017006,"Stuttgart Express","Liberia","MSC","Chartworld Shipping","Chartworld Shipping","01-Dec-1993","24-Jan-1992",,,,,67680,32.25,13.5,,,,"VLS IFO",132,"1 x Diesel - MAN B. & W. 9K90MC Mk3 - 2-stroke 9-cyl. 900mm x2550mm bore/stroke 36,507mkW total at 90rpm",49636,,,,23.8,7,,"Fully Cellular Container","United Kingdom/Continent (51.8 %)",21,294,,,,"Greece","In Service"
12978283,9143544,"Kobe Express",310764000,"Shanghai Express","Bermuda","Hapag-Lloyd Cont","Hapag-Lloyd Cont","Hapag-Lloyd","01-Dec-1997","28-May-1997","29-Dec-1995",21304,,,66771,32.3,13.52,,65,"$m","VLS IFO",138.8,"1 x Diesel - MAN B. & W. 9K90MC Mk3 - 2-stroke 9-cyl. 900mm x2550mm bore/stroke 41,173mkW total at 90rpm",55980,,,,24,8,,"Fully Cellular Container","West Coast North America (43.6 %)",25,294,,,,"Germany","In Service"
12978317,9143556,"Dusseldorf Express",310768000,,"Bermuda","Hapag-Lloyd Cont","Hapag-Lloyd Cont","Hapag-Lloyd","01-Mar-1998","21-Aug-1997","29-Dec-1995",21304,,,66771,32.3,13.52,,65,"$m","VLS IFO",150,"1 x Diesel - MAN B. & W. 9K90MC Mk3 - 2-stroke 9-cyl. 900mm x2550mm bore/stroke 41,173mkW total at 90rpm",55980,,,,24,8,,"Fully Cellular Container","West Coast North America (59.0 %)",25,294,,,,"Germany","In Service"
12978441,9143568,"London Express",310765000,,"Bermuda","Hapag-Lloyd Cont","Hapag-Lloyd Cont","Hapag-Lloyd","01-Aug-1998","16-Jan-1998","29-Dec-1995",21304,,,66577,32.3,13.68,,65,"$m","VLS IFO",150,"1 x Diesel - MAN B. & W. 9K90MC Mk3 - 2-stroke 9-cyl. 900mm x2550mm bore/stroke 41,173mkW total at 90rpm",55980,,,"1 x BWTS - Ballast Water Treatment System - Westfalia BallastMaster-UltraV 500 at 500cu.m/hr - 2015 installation year",24,8,,"Fully Cellular Container","West Coast North America (54.2 %)",25,294,,,,"Germany","In Service"
12784011,9000601,"MSC Napoli",235004790,"CMA CGM Normandie","United Kingdom","MSC","Zodiac Maritime","Zodiac Maritime","01-Jul-1991",,,,,,62277,37.1,14,,,,"IFO 380",170,"1 x Diesel - Sulzer 10RTA84C - 2-stroke 10-cyl. 840mm x2400mm bore/stroke 38,246mkW total at 102rpm",52000,,,,24,7,,"Fully Cellular Container",,,275.66,,,,"United Kingdom","Total Loss"
12982093,9141297,"MSC Rochelle",636016476,"Pugwash","Liberia","MSC","MSC","MSC","01-Nov-1997","11-Jun-1997","15-Dec-1995",,,,63645,32.2,13,,,,"VLS IFO",164,"1 x Diesel - MAN B. & W. 9K90MC-C6 - 2-stroke 9-cyl. 900mm x2300mm bore/stroke 40,452mkW total at 104rpm",55000,,,,24.5,6,,"Fully Cellular Container","Mediterranean / Black Sea (40.4 %)",22,294.1,,,,"Italy","Idle"
12975811,9141285,"Xin De Tian Jin",414193000,"Punjab","China P.R.","COSCO Shipping Lines","Tianjin Zhenxinde","Tianjin Zhenxinde","01-Oct-1997","16-Apr-1997","12-Dec-1995",18973,,,63523,32.2,13,,65,"$m","VLS IFO",164,"1 x Diesel - MAN B. & W. 9K90MC-C6 - 2-stroke 9-cyl. 900mm x2300mm bore/stroke 40,452mkW total at 104rpm",55000,,,,24.5,6,,"Fully Cellular Container","East Asia (75.1 %)",24,294,,,,"China P.R.","In Service"
12996511,9147071,"MSC Sao Paulo",636016492,"Pohang","Liberia","MSC","MSC","MSC","01-Jan-1998","08-Aug-1997","28-Dec-1995",18959,,,63537,32.2,13,,65,"$m","VLS IFO",150,"1 x Diesel - MAN B. & W. 9K90MC-C6 - 2-stroke 9-cyl. 900mm x2300mm bore/stroke 34,897mkW total at 104rpm",47447,,,"1 x BWTS - Ballast Water Treatment System (Pending) - ERMA FIRST Erma First at 800cu.m/hr - 2022 installation year",23.7,6,,"Fully Cellular Container","United Kingdom/Continent (59.8 %)",21,294.1,,,,"Italy","In Service"
12961269,9134282,"Ever Divine",564404000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Sep-1998","01-Apr-1998","05-Oct-1995",21050,270,"03-Jul-2020",54500,32.22,12.6,,,,"VLS IFO",200,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,,25,9,,"Fully Cellular Container",,14,294.13,,,,"Taiwan","Dead/Demolished"
14016729,8618293,"MSC Veronique",373120000,"Maersk Merritt","Panama","MSC","MSC","MSC","01-Apr-1989","03-Oct-1988",,,,,60639,32.28,13.50,,,,"VLS IFO",159,"1 x Diesel - MAN B. & W. 10K90MC Mk3 - 2-stroke 10-cyl. 900mm x2550mm bore/stroke 39,420mkW total at 90rpm",53600,,,,24,9,,"Fully Cellular Container","Mediterranean / Black Sea (37.7 %)",27,294.11,,,,"Italy","In Service"
14001833,8715857,"MSC Sariska",351356000,"Majestic","Panama","MSC","MSC","MSC","01-Apr-1990","29-Sep-1989",,23740,,,60639,32.28,13.52,,,,"VLS IFO",159,"1 x Diesel - MAN B. & W. 12K90MC Mk3 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 47,304mkW total at 90rpm",64320,,,,24,9,,"Fully Cellular Container","West Coast Africa (25.0 %)",21,294.12,,,,"Italy","In Service"
14006467,8715869,"MSC Federica",357363000,"Marie Maersk","Panama","MSC","MSC","MSC","01-Aug-1990","22-Jan-1990",,23740,,,60350,32.28,13.52,,,,"VLS IFO",159,"1 x Diesel - MAN B. & W. 12K90MC Mk3 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 47,304mkW total at 90rpm",64320,,,,24,9,,"Fully Cellular Container","United Kingdom/Continent (31.5 %)",23,294.12,,,,"Italy","In Service"
13998789,8715871,"MSC Pilar",371853000,"Magleby Maersk","Panama","MSC","MSC","MSC","01-Nov-1990","07-May-1990",,23740,,,60350,32.28,13.52,,,,"VLS IFO",159,"1 x Diesel - MAN B. & W. 12K90MC Mk3 - 2-stroke 12-cyl. 900mm x2550mm bore/stroke 47,304mkW total at 90rpm",64320,,,,24,9,,"Fully Cellular Container","South East Asia (28.2 %)",23,294.12,,,,"Italy","In Service"
12960767,9134232,"Ever Dainty",565106000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Jul-1997","27-Jan-1997","05-Oct-1995",21731,,,55604,32.22,12.6,,,,"VLS IFO",186,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,"1 x BWTS - Ballast Water Treatment System (Pending) - COSCO (Weihai) BOS-700 at 700cu.m/hr - 2022 installation year",25,9,,"Fully Cellular Container","South East Asia (46.1 %)",14,294.13,,,,"Taiwan","In Service"
12960891,9134244,"Ever Decent",564904000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Oct-1997","23-Apr-1997","05-Oct-1995",21731,345,"17-Sep-2020",55604,32.22,12.6,,,,"VLS IFO",186,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,,25,9,,"Fully Cellular Container",,14,294.13,,,,"Taiwan","Dead/Demolished"
12960925,9134256,"Ever Deluxe",564621000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Jan-1998","23-Jul-1997","05-Oct-1995",21387,310,"07-Aug-2020",55604,32.22,12.6,,,,"VLS IFO",186,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,,25,9,,"Fully Cellular Container",,14,294.13,,,,"Taiwan","Dead/Demolished"
12961001,9134268,"Ever Devote",564386000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Apr-1998","15-Oct-1997","05-Oct-1995",21731,,,55604,32.22,12.6,,,,"VLS IFO",186,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,"1 x BWTS - Ballast Water Treatment System (Pending) - COSCO (Weihai) BOS-700 - 2022 installation year",25,9,,"Fully Cellular Container","East Asia (33.8 %)",14,294.13,,,,"Taiwan","In Service"
12961135,9134270,"Ever Diadem",565711000,,"Singapore","Evergreen Marine","Evergreen Marine","Evergreen Marine","01-Jul-1998","12-Jan-1998","05-Oct-1995",21731,,,55604,32.22,12.6,,,,"VLS IFO",200,"1 x Diesel - Sulzer 12RTA84C - 2-stroke 12-cyl. 840mm x2400mm bore/stroke 48,631mkW total at 102rpm",66120,,,"1 x BWTS - Ballast Water Treatment System (Pending) - COSCO (Weihai) BOS-700 at 700cu.m/hr - 2022 installation year",25,9,,"Fully Cellular Container","East Asia (42.5 %)",14,294.13,,,,"Taiwan","In Service"
