"Listing"

"WFR Listing"
"Created 15 February 2022 21:18"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Builder"
11373447,9048134,"Stellar Knight",538004845,"Ore Corumba","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-Jan-1995","13-Apr-1994",,38450,,"01-May-2020",301389,58,22.2,,,,"VLS IFO",84,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 23,450mkW total at 77rpm",31883,,,,15.3,7,157671,"Ore Carrier",,,332,,,,"South Korea","Unknown Yard"
11374365,9060314,"Stellar Magic",538004847,"Ore Parati","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-May-1994","17-May-1993",,38297,422,"04-Dec-2020",298338,58,22.24,,,,"VLS IFO",85.7,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 23,461mkW total at 77rpm",31898,,,,14.6,7,157670,"Ore Carrier",,20,332,,,,"South Korea","Unknown Yard"
11374523,9060338,"Stellar Rio",538004970,"Ore Santos","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-May-1994","27-Oct-1993",,,290,"15-May-2020",298445,58,22.22,,,,"VLS IFO",85.7,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,14.6,7,157670,"Ore Carrier",,19,332,,,,"South Korea","Unknown China"
11373313,9048122,"Topaz 1",620807000,"Stellar Topaz","Comoro Islands",,"Lyra Trading","Lyra Trading","01-Nov-1994","15-Feb-1994",,45865,430,"15-Jan-2021",298468,58,22.2,,,,"VLS IFO",84,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,15.3,9,157671,"Ore Carrier",,,332,,,,"Liberia","Unknown Yard"
11343987,9002738,"Shagang Giant",636011949,"Starlight Jewel","Liberia",,"Eastern Pacific Shpg","Eastern Pacific Shpg","01-Jan-1993",,,39606,280,"07-May-2020",306902,60,22.03,,,,"VLS IFO",,"1 x Diesel - Sulzer 7RTA84M - 2-stroke 7-cyl. 840mm x2900mm bore/stroke 19,858mkW total at 65rpm",27000,,,,14.85,10,143713,"Ore Carrier",,,332.04,14.5,14,,"Singapore","Unknown China"
11383541,9085352,"Wugang Atlantic",636013827,"Atlantic Jewel","Liberia",,"Zodiac Maritime","Zodiac Maritime","01-Dec-1995","30-May-1995","24-Jun-1993",37672,385,"18-Dec-2020",281226,57.2,20.82,,75,"$m","VLS IFO",,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,14.5,8,156451,"Ore Carrier",,,327.5,15,13.5,,"United Kingdom","Unknown China"
11382599,9077410,"Pacific Opal",477861800,"C. Planner","Hong Kong","SK Shipping","Cido Shipping","Cido Shipping","01-Dec-1995","03-Jul-1995",,36810,396,"07-Feb-2020",278157,57.2,20.47,,,,"IFO 380",83.8,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,15,9,155363,"Ore Carrier",,20,329.06,,,,"South Korea","Shanhaiguan SB"
11382465,9075723,"Pacific Garnet",477759900,"C. Navigator","Hong Kong","SK Shipping","Cido Shipping","Cido Shipping","01-Sep-1995","20-Mar-1995",,43111,292,"12-Jun-2020",277047,57.2,20.47,,,,"VLS IFO",83.8,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,15,6,155363,"Ore Carrier",,,329,13.5,12.5,,"South Korea","Unknown Yard"
11363927,9036442,"Kibo",,"Berge Kibo","St. Kitts & N.",,"Berge Bulk","Berge Bulk","01-Feb-1993",,,37363,,"09-Oct-2020",289889,57.2,21.29,,,,"VLS IFO",95,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,14.9,6,,"Ore Carrier",,21,327.5,,,,"Bermuda","Beihai Shipyard"
11364003,9036454,"Berge Bureya",235118623,"BW Bureya","Isle of Man",,"Berge Bulk","Berge Bulk","01-May-1993",,,37818,410,"18-Oct-2019",289889,57.2,20.53,,,,"VLS IFO",95,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,14.9,7,,"Ore Carrier",,21,327.5,,,,"Bermuda","Beihai Shipyard"
11314637,8800286,"Berge Vinson",370495000,"BW Vinson","Panama",,"Berge Bulk","Berge Bulk","01-Aug-1990","19-Dec-1989",,37863,395,"13-Dec-2019",290160,57.23,20.8,,,,"VLS IFO",82,"1 x Diesel - MAN B. & W. 6S80MC Mk3 - 2-stroke 6-cyl. 800mm x3056mm bore/stroke 20,124mkW total at 77rpm",27360,,,,15,7,,"Ore Carrier",,21,327.52,,,,"Bermuda","Unknown China"
11344355,9000998,"Berge Denali",352075000,"BW Denali","Panama",,"Berge Bulk","Berge Bulk","01-Jan-1992",,,37781,465,"06-Mar-2019",289470,57.2,20.82,,,,"IFO 380",82,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,15,6,,"Ore Carrier",,21,327.5,,,,"Bermuda","Unknown China"
11338541,8902424,"Berge Elbrus",370360000,"BW Elbrus","Panama",,"Berge Bulk","Berge Bulk","01-Oct-1991",,,38047,406,"17-Jan-2020",289470,57.2,20.82,,,,"IFO 380",82,"1 x Diesel - MAN B. & W. 7S80MC Mk3 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 23,478mkW total at 77rpm",31920,,,,15,6,,"Ore Carrier",,21,327.5,,,,"Bermuda","Daewoo (DSME)"
12774175,9149794,"Merchant",341404000,"Amy","St. Kitts & N.",,"Seaswan Shipping","Seaswan Shipping","01-Sep-1997","03-Mar-1997","26-Apr-1996",37538,,"31-Jan-2021",322398,58,23.02,,70,"$m","VLS IFO",95.6,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,14.5,7,179139,"Ore Carrier",,14,332,,,,"India","Daewoo (DSME)"
12774209,9149809,"Sinomerchant",441889000,"Amy N","South Korea",,"Sinokor Merchant","Sinokor Merchant","01-Nov-1997","21-Apr-1997","28-Mar-1996",36887,,"28-Feb-2021",322457,58,23.02,,70,"$m","VLS IFO",95.6,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,17.4,7,179139,"Ore Carrier",,27,332,,,,"South Korea","Daewoo (DSME)"
11383709,9083093,"Stellar Iris",371905000,"Hyundai Star","Panama",,"Polaris Shipping","Polaris Shipping","01-Dec-1995","28-Jun-1995",,35038,295,"05-Jun-2020",288272,58,21.42,,,,"VLS IFO",,"1 x Diesel - Sulzer 7RTA84T - 2-stroke 7-cyl. 840mm x3150mm bore/stroke 27,184mkW total at 76rpm",36960,,,,14.8,10,149723,"Ore Carrier",,,331,,,,"South Korea","Unknown Yard"
11369345,9044229,"Stellar Eagle",353476000,"Sylt","Panama",,"Polaris Shipping","Polaris Shipping","01-Sep-1993","09-Nov-1992",,39808,,"11-Sep-2020",278258,57.2,20.77,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,15.4,9,151618,"Ore Carrier",,25,327.5,,,,"South Korea","Yiu Lian Dockyards"
11349271,9000986,"Rea",,"Ore Sud","Liberia",,"Unknown","Unknown","01-Jan-1992","12-Jun-1991",,38611,,"05-Jun-2020",285771,57.2,20.82,,,,"IFO 380",90,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,15,7,,"Ore Carrier",,,327.5,,,,"Unknown","Unknown China"
11344647,9004786,"Gela",,"Gelasha","Comoro Islands",,"Unknown","Unknown","01-Jul-1992","21-Aug-1991",,38611,,"25-Sep-2020",277218,57.23,20.82,,,,"IFO 380",93,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,"Fitted",,"1 x Exhaust Scrubber - SOx - SMDERI - 2019 installation year",15,8,,"Ore Carrier",,27,327.5,,,,"Unknown","Unknown China"
16041880,9375707,"He Heng",477177200,,"Hong Kong","COSCO Shipping Bulk","COSCO Shipping Bulk","China COSCO Shipping","01-Dec-2008","15-Jun-2006","15-May-2006",,,,297592,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,,,"2 x BWTS - Ballast Water Treatment System - COSCO (Weihai) BOS-3200 at 3200cu.m/hr - 2021 installation year",14.5,6,184102,"Ore Carrier","East Asia (26.1 %)",20,327,,,,"China P.R.","Nantong COSCO KHI"
16041893,9375733,"He Tong",477399200,,"Hong Kong","COSCO Shipping Bulk","COSCO Shipping Bulk","China COSCO Shipping","01-Jul-2009","15-Jun-2006","15-May-2006",,,,297633,55,21.4,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,"Fitted",,"1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year",14.5,6,184102,"Ore Carrier","South East Asia (30.9 %)",20,327,,,,"China P.R.","Nantong COSCO KHI"
16054677,9375745,"He Yong",477614600,,"Hong Kong","COSCO Shipping Bulk","COSCO Shipping Bulk","China COSCO Shipping","01-Oct-2009","30-Jun-2006","29-Sep-2006",,,,297738,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,,,,14.5,6,184102,"Ore Carrier","East Coast South America (24.2 %)",20,327,,,,"China P.R.","Nantong COSCO KHI"
16054680,9375757,"He Ping",477641600,,"Hong Kong","COSCO Shipping Bulk","COSCO Shipping Bulk","China COSCO Shipping","01-Dec-2009","30-Jun-2006","29-Sep-2006",,,,297759,55,21.4,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,"Fitted",,"1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.5,6,184102,"Ore Carrier","East Asia (26.2 %)",20,327,,,,"China P.R.","Nantong COSCO KHI"
15831615,9334882,"Abigail N",636014327,,"Liberia","Neu Seeschiffahrt","Neu Seeschiffahrt","General Ore Corp.","01-Sep-2009","26-May-2006","27-Aug-2004",,,,297430,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S90MC-C7.2 - 2-stroke 6-cyl. 900mm x3188mm bore/stroke 20,280mkW total at 76rpm",27573,,,,14.3,6,180474,"Ore Carrier","East Coast Africa (23.0 %)",22,327,,,,"United States","Universal SB (Tsu)"
11372529,9052343,"MG Shipping",355294000,"Takayama","Panama",,"Nippon Yusen Kaisha","Nippon Yusen Kaisha","01-Dec-1993","15-Dec-1992",,39778,395,"08-Feb-2019",250903,58,19.3,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 19,748mkW total at 79rpm",26850,,,,15.35,7,134591,"Ore Carrier",,,332,,,,"Japan","COSCO Dalian SY"
15743275,9334870,"Baosteel Elaboration",354707000,,"Panama",,"Mitsui OSK Lines","Mitsui OSK Lines","01-Jun-2009","26-May-2006","17-May-2004",,,,297567,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 22,700mkW total at 76rpm",30863,"Pending",,"1 x Exhaust Scrubber - SOx (Pending) - 2022 installation year, 2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3500 at 3500cu.m/hr - 2022 installation year",14.3,6,180474,"Ore Carrier","East Coast South America (23.6 %)",20,327,,,,"Japan","Universal SB Ariake"
15720605,9331062,"Nova Era",636013757,,"Liberia",,"Mitsui OSK Lines","Mitsui OSK Lines","01-Jul-2008","26-May-2006","14-Apr-2004",,,,297442,55,21.4,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,"Fitted",,"1 x Exhaust Scrubber - SOx - 2021 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3500 at 3500cu.m/hr - 2021 installation year",14.3,6,180474,"Ore Carrier","South East Asia (44.0 %)",20,327,,,,"Japan","Universal SB Ariake"
11370817,9053579,"Guofeng Enterprise",636013937,"Silver Jewel","Liberia",,"Zodiac Maritime","Zodiac Maritime","01-Dec-1993",,,38611,278,"05-Jun-2020",260995,59,19.72,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 7S80MC Mk4 - 2-stroke 7-cyl. 800mm x3056mm bore/stroke 25,487mkW total at 79rpm",34650,,,,15.4,5,131413,"Ore Carrier",,23,330,15,14.5,,"United Kingdom","Mitsui SB (Chiba)"
16077450,9377391,"COSCO Ansteel",477617800,,"Hong Kong","COSCO Shipping Bulk","COSCO Shipping Bulk","China COSCO Shipping","01-Aug-2009","14-Jun-2006","01-Oct-2005",,,,297719,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C7.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,,,,14.3,6,180474,"Ore Carrier","East Coast South America (24.3 %)",20,327,,,,"China P.R.","Universal SB Ariake"
15876061,9334909,"New Ansteel",477192200,,"Hong Kong","COSCO Shipping Bulk","COSCO Shipping Bulk","China COSCO Shipping","01-Mar-2009","14-Jun-2006","01-Sep-2004",,,,297488,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,,,"2 x BWTS - Ballast Water Treatment System (Pending) - COSCO (Weihai) BOS-3200 at 3200cu.m/hr - 2022 installation year",14.3,6,180474,"Ore Carrier","East Asia (47.7 %)",20,327,,,,"China P.R.","Universal SB Ariake"
15784465,9325295,"Shinwa Maru",432946000,,"Japan","NS United KK","NS United KK","NS United KK","01-Sep-2008","06-Jun-2006","01-Jul-2004",,,,297541,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,,,,14.3,6,180474,"Ore Carrier","West Coast Africa (70.5 %)",20,327,,,,"Japan","Universal SB Ariake"
15757669,9322023,"Grande Progresso",432902000,,"Japan","K-Line","K-Line","K-Line","01-Jun-2008","19-May-2006","27-May-2004",,,,297351,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,,,"2 x BWTS - Ballast Water Treatment System - Sunrui BC-3500 at 3500cu.m/hr - 2020 installation year",14.3,6,180474,"Ore Carrier","South East Asia (34.8 %)",21,327,,,,"Japan","Universal SB Ariake"
15720739,9334894,"Rigel",432717000,,"Japan","K-Line","K-Line","K-Line","01-Sep-2009","05-Jun-2006","14-Apr-2004",,,,297571,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,280mkW total at 76rpm",31630,,,,14.3,6,180474,"Ore Carrier","East Asia (32.1 %)",20,327,,,,"Japan","Universal SB Ariake"
15817543,9323572,"Toyokuni",432714000,,"Japan",,"K-Line","K-Line","01-Jul-2009","19-May-2006","01-Jun-2004",,,,297584,55,21.4,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 6S80MC-C6.1 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 22,700mkW total at 76rpm",30863,"Fitted",,"1 x Exhaust Scrubber - SOx - Yara Marine Tech Open - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3500 at 3500cu.m/hr - 2022 installation year",14.3,6,180474,"Ore Carrier","East Asia (32.3 %)",20,327,,,,"Japan","Universal SB Ariake"
11376101,9035450,"Berge Hua Shan",235101424,"Zheng Hao","Isle of Man","Berge Bulk","Berge Bulk","Berge Bulk","01-Jul-1993","06-Oct-1992",,40393,402,"31-Dec-2019",268008,60,19.04,,,,"VLS IFO",75,"1 x Diesel - Sulzer 7RTA84M - 2-stroke 7-cyl. 840mm x2900mm bore/stroke 19,822mkW total at 68rpm",26950,,,,15,10,125521,"Ore Carrier",,26,333,,,,"Bermuda","Unknown China"
11384177,9082312,"Handan Steel",636013576,"Golden Jewel","Liberia",,"Eastern Pacific Shpg","Eastern Pacific Shpg","01-Sep-1994","22-Dec-1993","01-Jan-1991",38047,274,"03-Jul-2020",264971,60,19.06,,10,"JPYbn","VLS IFO",,"1 x Diesel - Sulzer 7RTA84T - 2-stroke 7-cyl. 840mm x3150mm bore/stroke 20,057mkW total at 76rpm",27270,,,,14,5,137950,"Ore Carrier",,23,333,14,13,,"Singapore","I.H.I. (Kure)"
11363343,9050230,"Stellar Journey",538004287,"Grand","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-Mar-1994","24-Aug-1993",,,,"31-Dec-2019",267006,60,19.77,,,,"VLS IFO",74.8,"1 x Diesel - Sulzer 7RTA84T - 2-stroke 7-cyl. 840mm x3150mm bore/stroke 20,057mkW total at 76rpm",27270,,,,15,10,125521,"Ore Carrier",,24,333,,,,"South Korea","Unknown China"
11359667,9038672,"Sinotrader",441189000,"Shinyo Guardian","South Korea",,"Sinokor Merchant","Sinokor Merchant","01-Oct-1993","24-Feb-1993",,38492,,"29-Jan-2021",267906,60.05,21.64,,,,"VLS IFO",79.1,"1 x Diesel - Sulzer 7RTA84M - 2-stroke 7-cyl. 840mm x2900mm bore/stroke 20,079mkW total at 62rpm",27300,,,,15,10,125521,"Ore Carrier",,23,333,,,,"South Korea","COSCO Shipyard Group"
11363185,9084190,"Janice N",636013785,"Diamond Hope","Liberia",,"Neu Seeschiffahrt","General Ore Corp.","01-Feb-1995","01-Feb-1994",,32541,337,"02-Oct-2020",246340,58.04,19.88,,,,"VLS IFO",75.2,"1 x Diesel - Mitsubishi 6UEC85LSII - 2-stroke 6-cyl. 850mm x3150mm bore/stroke 21,918mkW total at 76rpm",29800,,,,14.3,10,,"Ore Carrier",,30,321.95,,,,"United States","Unknown Yard"
11359791,9038725,"Stellar Daisy",538003486,"Sunrise","Marshall Is.",,"Polaris Shipping","Polaris Shipping","01-Jul-1993","23-Jul-1992",,,,,266141,58,19.48,,,,"IFO 380",81.4,"1 x Diesel - Mitsubishi 9UEC75LSII - 2-stroke 9-cyl. 750mm x2800mm bore/stroke 19,711mkW total at 84rpm",26800,,,"1 x BWTS - Ballast Water Treatment System - AquaStar H-650 at 3000cu.m/hr - 2013 installation year",15.5,10,141332,"Ore Carrier",,21,321.95,,,,"South Korea","Unknown China"
11377861,9041198,"Sinoglory",441296000,"Ardeshir H. Bhiwandiwalla","South Korea",,"Sinokor Merchant","Sinokor Merchant","01-Nov-1992","05-Feb-1992",,38705,433,"30-Dec-2020",265816,58.03,19.88,,,,"VLS IFO",72,"1 x Diesel - Mitsubishi 6UEC85LSII - 2-stroke 6-cyl. 850mm x3150mm bore/stroke 21,918mkW total at 76rpm",29800,,,,15.25,10,141332,"Ore Carrier",,,321.95,,,,"South Korea","Unknown China"
11401867,9110224,"Pacific Coral",477177800,"Katori","Hong Kong",,"Cido Shipping","Cido Shipping","01-Dec-1995","07-Mar-1995","15-Jul-1994",40162,295,"03-Jul-2020",265278,56,19.52,,,,"VLS IFO",86,"1 x Diesel - MAN B. & W. 7L90MC Mk1 - 2-stroke 7-cyl. 900mm x2916mm bore/stroke 24,272mkW total at 74rpm",33000,,,,15,10,136889,"Ore Carrier",,24,324,,,,"South Korea","Unknown Yard"
