"Listing"

"WFR Listing"
"Created 16 February 2022 05:30"


"CVN","Stock Exchange Ticker","Speed (knots)","Speed category","Great Lakes Fitted","Contract Date Ind","Self Unloader (Ind)","Builder Yard Location","Air Draft From Water Line (m)","Demo Location","Manager Group","Grabs Ind","Vessel Name Date","Ice Class (Ind)","Ice Notation","Self Unloader Type","Original Builder","Original Builder Group","FEU Max In Holds","FEU Max On Deck","Deck Strength (sq m t)","Deck Cargo (Ind)","SOx Scrubber Indicator","BWMS Status","Deck Timber Loading (Ind)","Pool Operator Country/Region","BWMS 1 Retrofit Date","BWMS Technology Type","Grabs No","Deck Cargo Height (m)","Auxiliary Engine Detail","BWMS 2 Retrofit Date","Propulsor Detail","Maximum Speed (knots)","Self Unloader Cap (t hr)","Total Cargo Decks No","Hatch Max Length (m)","Hatch Max Width (m)","Heavy Lift (Ind)","Hull Type"
15699071,,14,"Service","N",,"N","Shanghai",,,"China COSCO Shipping","N","19-Oct-2006","N",,,"Shanghai Waigaoqiao","CSSC",,,,"N",,"Fitted","N",,"23-Mar-2021",,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x Taiyo FE 553A-10 - AC generator(s) at 2,250ekW total, (2,812.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,1,15.47,20,"N","S/Skin"
15699105,,14,"Service","N",,"N","Shanghai",,,"Huaxi Village","N","01-Jan-2021","N",,,"Shanghai Waigaoqiao","CSSC",,,,"N",,"Fitted","N",,"21-Mar-2021","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar4-stroke 210mm x 2,400mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,1,15.47,20,"N","S/Skin"
15702377,"2612",14.2,"Service","N",,"N","Shanghai",,,"Chinese Mar. Trans.","N","01-Jun-2005","N",,,"Shanghai Waigaoqiao","CSSC",,,,"N",,"Fitted","N",,"15-May-2020","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",,,"3 x Aux. Diesel Gen. - Yanmar 6N21L-EV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 2,400mkW total at 720rpm driving 3 x Taiyo FE 553A-10 - AC generator(s) at 2,250ekW total, (2,812.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 91rpm",,,1,15.47,20,"N","S/Skin"
15702401,,14,"Service","N",,"n","Shanghai",,,"Angelicoussis Group","N","01-Nov-2019","N",,,"Shanghai Waigaoqiao","CSSC",,,,"n","Y","Fitted","n",,"16-Dec-2019","FILTRATION - DISINFECTION (INJECTION DISINFECTANT)",,,"3 x Aux. Diesel Gen. - Yanmar 6N21L-EV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 2,400mkW total at 720rpm driving 3 x Taiyo FE 553A-10 - AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 91rpm",,,1,15.47,20,"N","S/Skin"
15758453,,14.2,"Service","N",,,"Shanghai",,,"Monte Nero Mngt",,"01-Aug-2021","N",,,"Jiangnan Shipyard","Jiangnan Shipyard",,,,,,"Fitted",,,"16-Jan-2022","ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar4-stroke 1,980mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,,15.48,15,,"S/Skin"
15758587,,14,"Service","N",,,"Shanghai",,,"Dongguan Haichang",,"01-Jul-2021","N",,,"Jiangnan Shipyard","Jiangnan Shipyard",,,,,,"Fitted",,,"10-Sep-2018","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar4-stroke 1,980mkW total at 900rpm driving 3 x AC generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,,15.48,15,,"S/Skin"
16028302,"2612",15,"Design Speed","N",,"N","Shanghai",,,"Chinese Mar. Trans.","N","24-May-2006","N",,,"Shanghai Waigaoqiao","CSSC",,,,"N",,"Fitted","N",,"28-Apr-2019","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6N21L-EV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 2,400mkW total at 720rpm driving 3 x Taiyo FE 553A-10 - AC generator(s) at 2,400ekW total, (3,000kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 91rpm",,,,,,"N","S/Skin"
16065044,"DSX",14,"Service","N",,"N","Shanghai",,,"Diana Wilhelmsen","N","18-Jun-2007","N",,,"Shanghai Waigaoqiao","CSSC",,,,,,"Pending",,,"01-Jun-2022","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6N21AL-EV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 2,400mkW total at 720rpm driving 3 x AC generator(s) at 2,400ekW total, (3,000kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,,,,"N","S/Skin"
16042982,,15.3,"Service",,,"N","Jiangyin",,,"China COSCO Shipping","Y","01-Jan-2008","N",,,"Chengxi Shipyard","CSSC",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Daihatsu 6DKM-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,868mkW total at 900rpm driving 3 x Nishishiba AC generator(s) at 2,040ekW total, (2,550kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,1,21.6,22.4,"N","D/Hull"
16042995,,15.3,"Service",,,"N","Jiangyin",,,"China COSCO Shipping","Y","01-Jan-2009","N",,,"Chengxi Shipyard","CSSC",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Daihatsu 6DKM-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,868mkW total at 900rpm driving 3 x AC generator(s) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,1,21.6,22.4,"N","D/Hull"
16041701,,14.3,"Service",,"M","N","Hakodate",,,"Blumenthal, Johann","N","01-Jan-2007","N",,,"Hakodate Dock","Namura Zosensho",,,23,,,,,,,,,,"2 x Aux. Diesel Gen. - Yanmar 6N18L-UV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,052mkW total at 720rpm driving 2 x ac generator(s) at 1,000ekW total, (1,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 129rpm",,,,19.55,19.6,,"D/Hull"
16041714,,14,"Laden",,"M","N","Hakodate",,,"Aug. Bolten","N","01-Dec-2017","N",,,"Hakodate Dock","Namura Zosensho",,,23,,,"Pending",,,"30-Nov-2023","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"2 x Aux. Diesel Gen. - Yanmar 6EY18AL - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,600mkW total at 900rpm driving 2 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 133rpm",,,,19.55,19.6,,"D/Hull"
16041727,,14.3,"Service",,"M","N","Hakodate",,,"Orion Reederei","N","01-Apr-2016","N",,,"Hakodate Dock","Namura Zosensho",,,23,,,"Fitted",,,"03-Aug-2019","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar4-stroke  driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 129rpm",,,,19.55,19.6,,"D/Hull"
16119130,,14.4,"Service","N","D","N","Tianjin",38.7,,"Polska Zegluga M",,"01-Dec-2009","Y","IC",,"Tianjin Xingang HI","CSSC",,,,,,"Fitted",,,"30-Nov-2019","FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 4L20 - 4-stroke 4-cyl. 200mm x 280mm bore/stroke 2,220mkW total at 900rpm driving 3 x ac generator(s) at 2,100ekW total, (2,625kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Dalian Marine, 127rpm, Ø5.80m",,,,22.4,18,"N","D/Hull"
16067835,,14.4,"Service","N","D","N","Tianjin",38.7,,"Polska Zegluga M",,"01-Aug-2009","Y","1C",,"Tianjin Xingang HI","CSSC",,,,,,"Fitted",,,"29-Jul-2019","FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 4L20 - 4-stroke 4-cyl. 200mm x 280mm bore/stroke 2,220mkW total at 900rpm driving 3 x ac generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,22.4,18,"N","D/Hull"
16067848,,14.4,"Service","N","D","N","Tianjin",38.7,,"Polska Zegluga M",,"01-Jan-2009","Y","1C",,"Tianjin Xingang HI","CSSC",,,,,,"Fitted",,,"19-Oct-2018","FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 4L20 - 4-stroke 4-cyl. 200mm x 280mm bore/stroke 2,220mkW total at 900rpm driving 3 x ac generator(s) at 2,100ekW total, (2,625kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,22.4,18,"N","D/Hull"
15864963,,12,"Service",,"Y",,"Mangalia",,,"Kiran Holding","N","17-Jan-2006",,,,"2 Mai Shipyard","2 Mai Shipyard",,,,,,"Fitted",,,"02-Dec-2019","ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6N21AL-UV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 2,400mkW total at 900rpm driving 3 x Taiyo AC generator(s) at 2,250ekW total, (2,812.50kVA total) 440V at 60Hz",,"1 x CP Propeller (Aft Centre) (mechanical), 127rpm",,,,16.2,14.4,,"D/Hull"
16069550,,14.3,"Service",,"M","N","Hakodate",,,"Orion Reederei","N","01-Feb-2016","N",,,"Hakodate Dock","Namura Zosensho",,,23,,,"Pending",,,"01-Jun-2022","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"2 x Aux. Diesel Gen. - Yanmar 6N18L-UV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,052mkW total at 720rpm driving 2 x ac generator(s) at 1,000ekW total, (1,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 129rpm",,,,19.55,19.6,,"D/Hull"
16070051,,14.7,"Service",,,"N","Yangzhou",,,"Dianik Bross.","Y","01-Apr-2021","N",,,"Sinopacific Dayang","Sinopacific Dayang",,,18,,,"Fitted",,,"08-Oct-2019","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,160mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Wuhan Heavy, 127rpm",,,1,21.32,18.26,,"D/Hull"
16070064,,13.5,"Laden",,,"N","Yangzhou",,,"Zhangzhou Shipping","Y","01-Jan-2021","N",,,"Sinopacific Dayang","Sinopacific Dayang",,,18,,,"Fitted",,,"18-Jun-2019","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,160mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Wuhan Heavy, 127rpm",,,1,21.32,18.26,,"D/Hull"
16070077,,14.7,"Service",,,"N","Yangzhou",,,"Meratus Advance Mari","Y","08-Mar-2021","N",,,"Sinopacific Dayang","Sinopacific Dayang",,,18,,,"Fitted",,,"23-Jun-2019","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,160mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Wuhan Heavy, 127rpm",,,1,21.32,18.26,,"D/Hull"
16070080,"GNK",14.7,"Service",,,"N","Yangzhou",,,"Genco Shpg & Trading","Y","01-Nov-2020","N",,,"Sinopacific Dayang","Sinopacific Dayang",,,18,,,"Fitted",,,"28-Nov-2019","FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Daihatsu 6DK-20 - 4-stroke 6-cyl. 200mm x 300mm bore/stroke 2,160mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Wuhan Heavy, 127rpm",,,1,21.32,18.26,,"D/Hull"
16050358,,14.7,"Service","N","Y","N","Tsu",,,"Trust Maritime","N","01-Nov-2008","N",,,"Universal SB (Tsu)","Universal SB (Tsu)",,,,,,,"N",,,,,,"3 x Aux. Diesel Gen. - Daihatsu 5DK-20 - 4-stroke 5-cyl. 200mm x 300mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 1,680ekW total, (2,100kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 81rpm",,,1,15.84,23.4,"N","D/Hull"
16097566,,14,"Laden",,,,"Taizhou",,,"Korea Shipmanagers","Y","01-Dec-2017","N",,,"Taizhou Kouan SB","Taizhou Kouan SB",,,,,,"Pending",,,"07-Mar-2023","ELECTROLYSIS (ELECTRO-CHLORINATION)",4,,"3 x Aux. Diesel Gen. - Yanmar4-stroke 1,980mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",14,,,21.32,18.26,,"D/Hull"
16097579,,14.5,"Service",,,,"Taizhou",,,"Xiamen Hanghuan","Y","24-Jul-2018","N",,,"Taizhou Kouan SB","Taizhou Kouan SB",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Yanmar 6N21L-UV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 1,800mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,21.32,18.26,,"D/Hull"
16097582,,14.5,"Service",,,,"Taizhou",,,"Oceanbulk Maritime","Y","01-Mar-2014","N",,,"Taizhou Kouan SB","Taizhou Kouan SB",,,,,"Y",,,,,,4,,"3 x Aux. Diesel Gen. - Yanmar 6N21L-UV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 1,800mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,21.32,18.26,,"D/Hull"
16097595,,14.5,"Service",,"Y",,"Taizhou",,,"Enterprises Shipping","Y","01-Jan-2009","N",,,"Taizhou Kouan SB","Taizhou Kouan SB",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Yanmar 6N21L-UV - 4-stroke 6-cyl. 210mm x 290mm bore/stroke 1,800mkW total at 720rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,21.32,18.26,,"D/Hull"
15954015,,15,"Service","N",,"N","Geoje",,,"Angelicoussis Group","N","01-Jan-2019","N",,,"Daewoo (DSME)","Daewoo (DSME)",,,,"N","Y","Fitted","N",,"02-Jan-2019","FILTRATION - DISINFECTION (INJECTION DISINFECTANT)",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 2,400ekW total, (3,000kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,1,14.72,21,"N","D/Hull"
16031636,,15,"Service","N","M","N","Imari",,,"ASP Group","N","23-Jun-2009","N",,,"Namura Shipbuilding","Namura Zosensho",,,,,,,,,,,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,530ekW total, (1,912.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,,,,"N","D/Hull"
16031649,,15,"Service","N","M","N","Imari",,,"Anglo-Eastern Group","N","31-Oct-2009","N",,,"Namura Shipbuilding","Namura Zosensho",,,,,,,,,,,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,530ekW total, (1,912.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm",,,,,,"N","D/Hull"
16034024,,14.4,"Service","N",,"N","Tianjin",38.7,,"Polska Zegluga M",,"01-May-2009","Y","1C",,"Tianjin Xingang HI","CSSC",,,,,,"Fitted",,,"25-Apr-2019","FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 4L20 - 4-stroke 4-cyl. 200mm x 280mm bore/stroke 2,220mkW total at 900rpm driving 3 x ac generator(s) at 2,100ekW total, (2,625kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,22.4,18,"N","D/Hull"
16034037,,14.4,"Service","N",,"N","Tianjin",38.7,,"Polska Zegluga M",,"01-Jul-2009","Y","1C",,"Tianjin Xingang HI","CSSC",,,,,,"Fitted",,,"25-Jun-2019","FILTRATION - ULTRAVIOLET",,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 4L20 - 4-stroke 4-cyl. 200mm x 280mm bore/stroke 2,220mkW total at 900rpm driving 3 x ac generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 127rpm",,,,22.4,18,"N","D/Hull"
16047408,,13.7,"Laden",,"D","N","Suzhou",,,"Norbulk Shpg. UK Ltd","Y","01-Nov-2017","N",,,"Tsuji H.I.","Tsuji H.I.",,,,,,"Pending",,,"01-Nov-2023","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",4,,"3 x Aux. Diesel Gen. - Yanmar 6N18L-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,650mkW total at 720rpm driving 3 x Taiyo AC generator(s) at 1,650ekW total, (2,062.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), Nakashima, 131rpm",,,1,20.8,21,"N","D/Hull"
16047411,"1606",13.7,"Laden",,"D","N","Suzhou",,,"V. Group","Y","01-Jan-2009","N",,,"Tsuji H.I.","Tsuji H.I.",,,,,,"Fitted",,"Denmark","10-Apr-2019","ELECTROLYSIS (ELECTRO-CHLORINATION)",4,,"3 x Aux. Diesel Gen. - Yanmar 6N18AL-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,650mkW total at 900rpm driving 3 x Taiyo AC generator(s) at 60Hz","10-Apr-2019","1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 131rpm",,,1,20.8,21,"N","D/Hull"
16047424,,13.7,"Laden",,"D","N","Suzhou",,,"Norbulk Shpg. UK Ltd","Y","01-Nov-2017","N",,,"Tsuji H.I.","Tsuji H.I.",,,,,,"Fitted",,,"06-Apr-2019","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",4,,"3 x Aux. Diesel Gen. - Yanmar 6N18AL-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke  at 900rpm driving 3 x Taiyo AC generator(s) at 1,875ekW total, (2,344kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 131rpm",,,1,20.8,21,"N","D/Hull"
16047437,,13.7,"Laden",,,"N","Suzhou",,,"Aug. Bolten","Y","01-Jan-2009","N",,,"Tsuji H.I.","Tsuji H.I.",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Yanmar 6N18L-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke  at 720rpm driving 3 x AC generator(s) at 1,219ekW total, (1,524kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 131rpm",,,1,20.8,21,"N","D/Hull"
16047440,,13.7,"Laden",,"D","N","Suzhou",,,"Norbulk Shpg. UK Ltd","Y","01-Dec-2017","N",,,"Tsuji H.I.","Tsuji H.I.",,,,,,"Fitted",,,"14-Feb-2019","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",4,,"3 x Aux. Diesel Gen. - Yanmar 6N18L-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke  at 720rpm driving 3 x Taiyo AC generator(s) at 1,875ekW total, (2,343.80kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), Nakashima, 131rpm",,,1,20.8,21,"N","D/Hull"
16047453,,13.7,"Laden",,,"N","Suzhou",,,"Aug. Bolten","Y","01-Jan-2009","N",,,"Tsuji H.I.","Tsuji H.I.",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Yanmar 6N18L-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke  at 720rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 131rpm",,,1,20.8,21,"N","D/Hull"
16047466,"1606",13.7,"Laden",,"D","N","Suzhou",,,"Dania SM Bulk","Y","01-Oct-2009","N",,,"Tsuji H.I.","Tsuji H.I.",,,,,,"Fitted",,"Denmark","28-Nov-2019","ELECTROLYSIS (ELECTRO-CHLORINATION)",4,,"3 x Aux. Diesel Gen. - Yanmar 6N18L-EV - 4-stroke 6-cyl. 180mm x 280mm bore/stroke  at 720rpm driving 3 x Taiyo AC generator(s) at 1,875ekW total, (2,344kVA total) at 60Hz","28-Nov-2019","1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 131rpm",,,1,20.8,21,"N","D/Hull"
