"Listing"

"WFR Listing"
"Created 15 February 2022 21:19"


"CVN","IMO Number","Name","MMSI (Maritime Mobile Service Identity)","Ex Name","Flag State","Operator","Owner","Group Owner","Built Date","Keel Laid Date","Contract Date","LDT","Demo $/LDT","Demo Date","Dwt","Beam Mld (m)","Draught (m)","Gear Detail","Price (NB)","Currency (NB)","Main Engine Fuel Type","Main Consumption at Service Speed (tpd)
","Main Engine Detail","HP Total Propulsion","SOx Scrubber Status","Eco – Electronic Engine","Environmental Detail","Service Speed (knots)","Holds Total No","Grain Capacity (cu m)","Type","Main Global Zone (Last 12 Months %)","Est Crew No","LOA (m)","Ballast Speed (knots)","Laden Speed (knots)","Main Engine LNG Ready","Owner Nationality/Region","Builder"
16170865,9566526,"Saham Max",538004900,"Vale Saham","Marshall Is.","Vale","Asyad Shipping","Asyad Shipping","01-Jan-2013","04-Nov-2011","10-Jul-2009",,,,400694,65,23,,120,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 31,640mkW total at 80rpm",43020,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (25.5 %)",20,360,,,,"Oman","Jiangsu Rongsheng"
16170878,9566538,"Shinas Max",538004899,"Vale Shinas","Marshall Is.","Vale","Asyad Shipping","Asyad Shipping","01-Mar-2013","04-Nov-2011","10-Jul-2009",,,,400285,65,23," 2 x Crane, Provision SWL 10 tons, 1 x Gantry, Engine Room SWL 9.50 tons",120,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 29,400mkW total at 76rpm",39972,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",14.8,7,224427,"Ore Carrier","East Coast South America (21.9 %)",20,360,,,,"Oman","Jiangsu Rongsheng"
16173482,9575498,"Sea Tubarao",538004918,"Vale Tubarao","Marshall Is.","Pan Ocean","Pan Ocean","Pan Ocean","01-Jan-2013","20-Jan-2012","09-Sep-2010",,,,403784,65,22,,110,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2020 installation year, 12 x BWTS - Ballast Water Treatment System (Pending) - TechCross ECS-600 - Electro-Cleen™ at 600cu.m/hr - 2023 installation year",14.8,7,243730,"Ore Carrier","East Coast South America (28.9 %)",20,361,,,,"South Korea","STX Dalian"
16173453,9575462,"Sea Espirito Santo",538004765,"Vale Espirito Santo","Marshall Is.","Vale","Pan Ocean","Pan Ocean","01-Sep-2012","01-Jul-2011","13-Nov-2009",,,,403627,65,22,,110,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2020 installation year, 12 x BWTS - Ballast Water Treatment System (Pending) - TechCross ECS-600 - Electro-Cleen™ at 600cu.m/hr - 2022 installation year",14.8,7,243730,"Ore Carrier","South East Asia (46.9 %)",20,361,,,,"South Korea","STX Dalian"
16173466,9575474,"Sea Indonesia",538004826,"Vale Indonesia","Marshall Is.","Pan Ocean","Pan Ocean","Pan Ocean","01-Oct-2012","21-Nov-2011","13-Nov-2009",,,,403727,65,22,,110,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2019 installation year, 12 x BWTS - Ballast Water Treatment System (Pending) - TechCross ECS-600 - Electro-Cleen™ at 600cu.m/hr - 2022 installation year",14.8,7,243730,"Ore Carrier","East Coast South America (30.7 %)",20,361,,,,"South Korea","STX Dalian"
16173437,9575448,"Sea Beijing",538004438,"Vale Beijing","Marshall Is.","Vale","Pan Ocean","Pan Ocean","01-Sep-2011","17-Apr-2011","13-Nov-2009",,,,403818,65,22,,110,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","12 x BWTS - Ballast Water Treatment System - TechCross ECS-600 - Electro-Cleen™ at 600cu.m/hr - 2021 installation year, 1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2020 installation year",,7,243730,"Ore Carrier","South East Asia (28.1 %)",24,361,,,,"South Korea","STX SB (Jinhae)"
16173440,9575450,"Sea Qingdao",538004553,"Vale Qingdao","Marshall Is.","Pan Ocean","Pan Ocean","Pan Ocean","01-Apr-2012","21-Sep-2011","13-Nov-2009",,,,403919,65,22,,110,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2020 installation year, 12 x BWTS - Ballast Water Treatment System (Pending) - TechCross ECS-600 - Electro-Cleen™ at 600cu.m/hr - 2022 installation year",14.8,7,243730,"Ore Carrier","East Coast Africa (26.7 %)",24,361,,,,"South Korea","STX SB (Jinhae)"
16173479,9575486,"Sea Fujiyama",538004778,"Vale Fujiyama","Marshall Is.","Pan Ocean","Pan Ocean","Pan Ocean","01-Nov-2012","23-Apr-2012","13-Nov-2009",,,,403811,65,22,,110,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2020 installation year, 12 x BWTS - Ballast Water Treatment System (Pending) - TechCross ECS-600 - Electro-Cleen™ at 600cu.m/hr - 2022 installation year",14.8,7,243730,"Ore Carrier","East Coast South America (25.0 %)",20,361,,,,"South Korea","STX SB (Jinhae)"
16173503,9575515,"Sea Maranhao",538008959,"Vale Maranhao","Marshall Is.",,"Pan Ocean","Pan Ocean","01-Aug-2013","26-Nov-2012","13-Nov-2009",,,,403844,65,22,,110,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Wartsila Moss Open Loop - 2019 installation year, 12 x BWTS - Ballast Water Treatment System (Pending) - TechCross ECS-600 - Electro-Cleen™ at 600cu.m/hr - 2022 installation year",14.8,7,243730,"Ore Carrier","East Coast South America (22.0 %)",20,361,,,,"South Korea","STX SB (Jinhae)"
16189175,9593919,"Shandong Da Cheng",477118800,"Vale Carajas","Hong Kong","Shandong Shipping","BoCom Leasing","BoCom","01-May-2012","24-Nov-2011","16-Jun-2010",,,,402285,65,23,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3000 at 3000cu.m/hr - 2022 installation year, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",15.4,7,224427,"Ore Carrier","East Coast South America (27.6 %)",20,362,,,,"China P.R.","Daewoo (DSME)"
16189188,9593957,"Shandong Da Zhi",477148200,"Vale Minas Gerais","Hong Kong","Shandong Shipping","BoCom Leasing","BoCom","01-Jul-2012","20-Dec-2011","16-Jun-2010",,,,400000,65,23,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3000 at 3000cu.m/hr - 2022 installation year, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2019 installation year",,7,224427,"Ore Carrier","East Coast South America (32.6 %)",20,362,,,,"China P.R.","Daewoo (DSME)"
16189191,9593969,"Ore Korea",477913500,"Vale Korea","Hong Kong","VLOC Holding","VLOC Holding","ICBC","01-Apr-2013","29-Dec-2011","16-Jun-2010",,,,402303,65,23,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year, 2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3500 at 3500cu.m/hr - 2023 installation year",,7,224427,"Ore Carrier","East Coast South America (26.4 %)",20,362,,,,"China P.R.","Daewoo (DSME)"
16173224,9488918,"Ore Brasil",477913700,"Vale Brasil","Hong Kong","VLOC Holding","VLOC Holding","ICBC","01-Mar-2011","15-Nov-2010","26-Oct-2009",,,,402347,65,23," 1 x Crane - OPCO SWL 10 tons at 21.50m.",115,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr - 2021 installation year",,7,224427,"Ore Carrier","East Asia (21.8 %)",20,362,,,,"China P.R.","Daewoo (DSME)"
16173237,9572329,"Shandong Da De",477118900,"Vale Rio De Janeiro","Hong Kong","Shandong Shipping","BoCom Leasing","BoCom","01-Sep-2011","21-Dec-2010","02-Oct-2009",,,,402303,65,23," 1 x Crane - OPCO SWL 10 tons at 21.50m.",115,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr - 2021 installation year, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",,7,224427,"Ore Carrier","East Coast South America (28.9 %)",20,362,,,,"China P.R.","Daewoo (DSME)"
16173240,9572331,"Ore Italia",477913600,"Vale Italia","Hong Kong","VLOC Holding","VLOC Holding","ICBC","01-Oct-2011","07-Jun-2011","02-Oct-2009",,,,402303,65,23," 1 x Crane - OPCO SWL 10 tons at 21.50m.",115,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year, 2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr - 2021 installation year",,7,224427,"Ore Carrier","East Coast South America (29.3 %)",20,362,,,,"China P.R.","Daewoo (DSME)"
16173253,9572343,"Shandong Da Ren",477147900,"Vale Malaysia","Hong Kong","Shandong Shipping","BoCom Leasing","BoCom","01-Mar-2012","08-Nov-2011","02-Oct-2009",,,,402285,65,23," 1 x Crane - OPCO SWL 10 tons at 21.50m.",115,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 7S80ME-C8.2 - 2-stroke 7-cyl. 800mm x3200mm bore/stroke 29,260mkW total at 78rpm",39782,"Fitted","Eco – Electronic Engine","2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3000 at 3000cu.m/hr - 2022 installation year, 1 x Exhaust Scrubber - SOx - Alfa Laval PureSOx - 2020 installation year",15.4,7,224427,"Ore Carrier","East Coast South America (29.4 %)",20,362,,,,"China P.R.","Daewoo (DSME)"
16084258,9447536,"Berge Everest",235118625,,"Isle of Man","Berge Bulk","Berge Bulk","Berge Bulk","01-Sep-2011","20-Sep-2010","04-May-2007",,,,388133,65,23," 1 x Crane, Provision (Accom.), 1 x Crane, Engine Room (Aft)",108,"$m","IFO 380",98.19,"1 x Diesel - Wartsila 2-stroke 7RT-flex84T-D - 2-stroke 7-cyl. 840mm x3150mm bore/stroke 24,990mkW total at 72rpm",33976,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Yara Marine Tech - 2019 installation year, 2 x BWTS - Ballast Water Treatment System - Qingdao Headway HMT-4000 at 4000cu.m/hr - 2021 installation year",14.8,7,389700,"Ore Carrier","South East Asia (25.9 %)",21,360.97,,,,"Bermuda","Bohai Shipbuilding"
16084261,9447548,"Berge Aconcagua",235090341,,"Isle of Man","Berge Bulk","Berge Bulk","Berge Bulk","01-Mar-2012","20-Apr-2011","04-May-2007",,,,388133,65,23,,108,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex84T-D - 2-stroke 7-cyl. 840mm x3150mm bore/stroke 29,400mkW total at 76rpm",40005,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Yara Marine Tech - 2019 installation year, 1 x BWTS - Ballast Water Treatment System (Pending) - Qingdao Headway HMT-4000 - 2022 installation year",14.8,7,389700,"Ore Carrier","East Coast South America (36.7 %)",21,360.97,,,,"Bermuda","Bohai Shipbuilding"
16084274,9447550,"Berge Jaya",235092455,,"Isle of Man","Berge Bulk","Berge Bulk","Berge Bulk","01-Jun-2012","13-Sep-2011","04-May-2007",,,,388133,65,23,,108,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex84T-D - 2-stroke 7-cyl. 840mm x3150mm bore/stroke 29,400mkW total at 76rpm",40005,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Yara Marine Tech - 2019 installation year, 1 x BWTS - Ballast Water Treatment System (Pending) - Qingdao Headway HMT-4000 - 2022 installation year",14.8,7,389700,"Ore Carrier","South East Asia (32.4 %)",20,360.92,,,,"Bermuda","Bohai Shipbuilding"
16084287,9447562,"Berge Neblina",235094793,,"Isle of Man","Berge Bulk","Berge Bulk","Berge Bulk","01-Jan-2013","28-Dec-2011","04-May-2007",,,,388079,65,23,,108,"$m","IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex84T-D - 2-stroke 7-cyl. 840mm x3150mm bore/stroke 29,400mkW total at 76rpm",40005,"Fitted","Eco – Electronic Engine","1 x Exhaust Scrubber - SOx - Yara Marine Tech - 2019 installation year, 1 x BWTS - Ballast Water Treatment System (Pending) - Qingdao Headway HMT-4000 - 2022 installation year",14.8,7,389700,"Ore Carrier","South East Asia (27.0 %)",20,360.92,,,,"Bermuda","Bohai Shipbuilding"
16132597,9510474,"Wugang Haoyun",235089901,,"United Kingdom",,"Zodiac Maritime","Zodiac Maritime","01-Nov-2011",,"21-Mar-2008",36774,,,297980,55,21.4,,125,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 6S80MC-C8.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 25,080mkW total at 78rpm",34099,"Fitted",,"1 x Exhaust Scrubber - SOx - Global Echo MS-SOx - 2019 installation year, 1 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-4000 at 4000cu.m/hr - 2022 installation year",14.6,7,171605,"Ore Carrier","East Coast South America (26.7 %)",20,327,15,14.5,,"United Kingdom","STX SB (Jinhae)"
16132605,9510486,"Wugang Caifu",636015585,,"Liberia",,"Eastern Pacific Shpg","Eastern Pacific Shpg","01-May-2012","27-Dec-2011","21-Mar-2008",,,,299382,55,21.4,,125,"$m","IFO 380",,"1 x Diesel - MAN B. & W. 6S80MC-C8.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 25,080mkW total at 78rpm",34099,"Fitted",,"1 x Exhaust Scrubber - SOx - ContiOcean - 2019 installation year, 2 x BWTS - Ballast Water Treatment System (Pending) - Sunrui BC-3500 at 3500cu.m/hr - 2022 installation year",14.6,7,171605,"Ore Carrier","East Asia (25.2 %)",20,327,15,14.5,,"Singapore","STX SB (Jinhae)"
16055737,9565534,"Ore Amazonas",357443000,,"Panama","Vale","Nippon Yusen Kaisha","Nippon Yusen Kaisha","01-Oct-2010","29-Jun-2006","06-Oct-2006",,,,297978,55,21.4,,,,"IFO 380",,"1 x Diesel - MAN B. & W. 6S80MC-C7.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,279mkW total at 73rpm",31650,"Fitted",,"2 x BWTS - Ballast Water Treatment System - Sunrui BC-3000 at 3000cu.m/hr - 2020 installation year, 1 x Exhaust Scrubber - SOx - Yara Marine Tech Open - 2020 installation year",14.5,6,184102,"Ore Carrier","East Asia (25.4 %)",20,327,,,,"Japan","Nantong COSCO KHI"
16076945,9437282,"Baogang Spirit",353932000,,"Panama","K-Line","K-Line","K-Line","01-Dec-2010","23-Feb-2010","16-Mar-2007",,,,297902,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C7.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 22,360mkW total at 73rpm",30400,,,"2 x BWTS - Ballast Water Treatment System - Sunrui BC-3500 at 3500cu.m/hr - 2020 installation year",14.5,6,184102,"Ore Carrier","East Coast Africa (26.9 %)",20,327,,,,"Japan","Nantong COSCO KHI"
16135851,9519573,"Shagang Volition",636015588,,"Liberia","Everest Shipping","Everest Shipping","Jiangsu Shagang","01-Sep-2012","23-Nov-2010","09-May-2008",37664,,,298004,55,21.43,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C7.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 19,000mkW total at 69rpm",25833,,,,,6,184102,"Ore Carrier","West Coast Africa (34.8 %)",20,327,15,14.5,,"China P.R.","Dalian COSCO KHI"
16135864,9521980,"Shagang Faith",636015590,,"Liberia","Everest Shipping","Everest Shipping","Jiangsu Shagang","01-Jan-2013","30-Jan-2012","09-May-2008",37583,,,298085,55,21.43,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C7.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 19,000mkW total at 69rpm",25833,,,,,6,184102,"Ore Carrier","West Coast Africa (32.0 %)",20,327,15,14,,"China P.R.","Dalian COSCO KHI"
16176609,9565510,"Bao Min",356480000,,"Panama","BaoWu Steel Group","Kitaura Kaiun KK","Kitaura Kaiun KK","01-Jun-2010","29-Jun-2006","01-Sep-2006",,,,297844,55,21.4,,,,"VLS IFO",,"1 x Diesel - MAN B. & W. 6S80MC-C7.2 - 2-stroke 6-cyl. 800mm x3200mm bore/stroke 23,279mkW total at 73rpm",31650,,,,14.5,6,184102,"Ore Carrier","East Coast Africa (25.8 %)",21,327,,,,"Japan","Nantong COSCO KHI"
16121096,9493054,"HL Tubarao",354121000,"Hanjin Tubarao","Panama",,"H-Line Shipping","H-Line Shipping","01-Mar-2011","12-Oct-2010","30-Nov-2007",,,,299688,55,21.42,,,,"IFO 380",,"1 x Diesel - Wartsila 2-stroke 7RT-flex82T-A - 2-stroke 7-cyl. 820mm x3375mm bore/stroke 24,400mkW total at 76rpm",33175,"Fitted","Eco – Electronic Engine","8 x BWTS - Ballast Water Treatment System - TechCross ECS-1000 - Electro-Cleen™ at 1000cu.m/hr - 2020 installation year, 1 x Exhaust Scrubber - SOx - Alfa Laval - 2020 installation year",15.3,7,168495,"Ore Carrier","East Coast Africa (24.8 %)",18,339.95,,,,"South Korea","Hyundai HI (Ulsan)"
