"Listing"

"WFR Listing"
"Created 15 February 2022 02:18"


"CVN","IMO Number","Name","Built Date","Owner","Status","GT","Year Rebuilt Convert","Old Type","Main Bunker Capacity (m3)","Beta Atlantic/Pacific Based (Last 12 Months)","TEU","FEU Total Cap","Launch Date","Operational Speed (knots)","TPC","NT","Strengthened for Heavy Cargo","Strengthened for Ore","Owner Main Vessel Type","SOx Scrubber 1 Retrofit Date","Max TEU in Holds","Max TEU on Deck","Alternative Name","Ballast Cap (cu m)","Propulsor Detail","Crew Total No","Public Listed Company","Financial Lessor Owner","Alternative Fuel Types","Cargo Interests Company","State Interests Company","Private Equity Company","Joint Venture Company (Owner)","Hull No","Registered Owner Company","Box Hold Ind","Group Owner Country/Region","Great Lakes Only","Call Sign"
11374365,9060314,"Stellar Magic","01-May-1994","Polaris Shipping","Dead/Demolished",160666,2011,"Tanker",7588,,0,,,11.26,167.14,48504,,"Y","Capesize Bulker",,,,"Stellar Magic",158248,"1 x FP Propeller (Aft Centre) (mechanical), 77rpm",20,,,,,,,,"841","PS-1 SHIPPING INC.",,"South Korea",,"V7ZK6"
11373313,9048122,"Topaz 1","01-Nov-1994","Lyra Trading","Dead/Demolished",160454,2011,"Tanker",8014,,,,"29-May-1994",10.95,167.14,48504,,"Y",,,,,"Topaz 1",158640,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",,,,,,,,,"824","LYRA TRADING LTD",,"Liberia",,"D6A2818"
11343987,9002738,"Shagang Giant","01-Jan-1993","Eastern Pacific Shpg","Dead/Demolished",157402,2008,"Tanker",5248,,,,"11-Jul-1992",9.54,168.7,47220,,,"Diverse",,,,"Shagang Giant",110107,"1 x FP Propeller (Aft Centre) (mechanical), 65rpm",,,,,,,,,"1179","Bart Maritime No 2 Inc",,"Singapore",,"A8CN4"
11383541,9085352,"Wugang Atlantic","01-Dec-1995","Zodiac Maritime","Dead/Demolished",156281,2009,"Tanker",7492,,0,,,8.45,167.4,46884,,,"Diverse",,,,"Wugang Atlantic",103281,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",,,,,,,,,"5089","SPERT SHIPPING INC.",,"United Kingdom",,"A8PT4"
11382465,9075723,"Pacific Garnet","01-Sep-1995","Cido Shipping","Dead/Demolished",156280,2011,"Tanker",7327,,,,"01-Jul-1995",10.78,169,46884,,"Y","Vehicle Carrier",,,,"Pacific Garnet",165743,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",,,,,,,,,"1115","HEROIC CHAMAELEON INC.",,"Hong Kong",,"VRIO5"
11382599,9077410,"Pacific Opal","01-Dec-1995","Cido Shipping","Dead/Demolished",156280,,"Tanker",7332,,,,"10-Oct-1995",,169.14,46884,,,"Vehicle Carrier",,,,"Pacific Opal",163575,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",20,,,,,,,,"1116","Heroic Norma Inc.",,"Hong Kong",,"VRIH9"
11363927,9036442,"Kibo","01-Feb-1993","Berge Bulk","Dead/Demolished",155823,2009,"Tanker",5823,,,,"04-Jul-1992",9.72,168.8,46746,,,"Capesize Bulker",,,,"Kibo",104744,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",21,,,,,,,,"5069","BC Prosperity Company S.A.",,"Bermuda",,"V4FS4"
11364003,9036454,"Berge Bureya","01-May-1993","Berge Bulk","Dead/Demolished",155823,2008,"Tanker",6233,,,,"05-Sep-1992",,168.1,90051,,,"Capesize Bulker",,,,"Berge Bureya",104745,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",21,,,,,,,,"5070","BC Enterprise Co SA",,"Bermuda",,"2JST4"
11314637,8800286,"Berge Vinson","01-Aug-1990","Berge Bulk","Dead/Demolished",155708,2009,"Tanker",5855,,,,"05-May-1990",,167.3,86003,,,"Capesize Bulker",,,,"Berge Vinson",103842,"1 x FP Propeller (Aft Centre) (mechanical), 77rpm",21,,,,,,,,"5038","Berge Vinson Company SA",,"Bermuda",,"3ETB"
11344355,9000998,"Berge Denali","01-Jan-1992","Berge Bulk","Dead/Demolished",155656,2009,"Tanker",5916,,,,"18-Aug-1991",,167.6,85873,,,"Capesize Bulker",,,,"Berge Denali",,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",21,,,,,,,,"5056","Kempford Co SA",,"Bermuda",,"H3RI"
11338541,8902424,"Berge Elbrus","01-Oct-1991","Berge Bulk","Dead/Demolished",155626,2009,"Tanker",5916,,,,"08-Jun-1991",,167.5,85873,,,"Capesize Bulker",,,,"Berge Elbrus",103393,"1 x FP Propeller (Aft Centre) (mechanical), 77rpm",21,,,,,,,,"5048","Marsnow Company S.A.",,"Bermuda",,"3ESM6"
12774209,9149809,"Sinomerchant","01-Nov-1997","Sinokor Merchant","Dead/Demolished",155051,,,7958,,,,,8.84,,55792,,"Y","Crude/Products Tanker",,,,"Sinomerchant",227942,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",27,,,,,,,,"1117","SINOKOR MERCHANT MARINE CO., LTD.",,"South Korea","N","DSRK3"
12774175,9149794,"Merchant","01-Sep-1997","Seaswan Shipping","Dead/Demolished",155051,,,7958,,,,"10-Jun-1997",10.99,,55792,,"Y",,,,,"Merchant",227942,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",14,,,,,,,,"1116","SOUTH CLERMONT INVESTMENT LTD",,"India","N","V4HQ4"
11383709,9083093,"Stellar Iris","01-Dec-1995","Polaris Shipping","Dead/Demolished",154786,2011,"Tanker",9604.6,,,,"07-Oct-1995",8.93,166.83,52332,,,"Capesize Bulker",,,,"Stellar Iris",147542,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,,,,,,,,"907","PS-3 SHIPPING INC.",,"South Korea",,"3FSH5"
11369345,9044229,"Stellar Eagle","01-Sep-1993","Polaris Shipping","Dead/Demolished",154759,2009,"Tanker",6231,,,,"20-Mar-1993",9.71,168.1,90151,,,"Capesize Bulker",,,,"Stellar Eagle",120537,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",25,,,,,,,,"5075","VP-16 SHIPPING INC.",,"South Korea",,"3FFD2"
11349271,9000986,"Rea","01-Jan-1992","Unknown","Dead/Demolished",154552,2009,"Tanker",6159,,,,"26-Oct-1991",,167.7,85873,,,,,,,"Rea",105729,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",,,"Y",,,,,,"5052","Danae Intl. Corp.",,"Unknown",,"D5WA3"
11344647,9004786,"Gela","01-Jul-1992","Unknown","Dead/Demolished",153427,2008,"Tanker",6159,,,,"30-Dec-1991",10.84,167.6,85873,,,,"17-Mar-2019",,,"Gela",105734,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",27,,"Y",,,,,,"5059","Iliana Shipping Ltd",,"Unknown"
16041880,9375707,"He Heng","01-Dec-2008","COSCO Shipping Bulk","In Service",152305,,,8489,"Atlantic/Pacific",,,"26-Sep-2008",10.47,170.7,55601,,,"Bulker",,,,"He Heng",182641,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,,,,,"Y",,,"056","UNIQUE SHIPPING LIMITED",,"China P.R.","N","VRET9"
16041893,9375733,"He Tong","01-Jul-2009","COSCO Shipping Bulk","In Service",152305,,,8489,"Atlantic/Pacific",,,"24-Apr-2009",11.06,170.7,55601,,,"Bulker","09-Sep-2019",,,"He Tong",182641,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,,,,,"Y",,,"057","TOP TEAM SHIPPING LIMITED",,"China P.R.","N","VRFJ8"
16054677,9375745,"He Yong","01-Oct-2009","COSCO Shipping Bulk","In Service",152148,,,8489,"Atlantic/Pacific",,,,10.76,170.7,55953,,,"Bulker",,,,"He Yong",182641,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,,,,,"Y",,,"058","Gateway Shipping Limited",,"China P.R.","N","VRFT8"
16054680,9375757,"He Ping","01-Dec-2009","COSCO Shipping Bulk","In Service",152148,,,8489,"Atlantic/Pacific",,,,10.73,170.7,55953,,,"Bulker","10-Jan-2020",,,"He Ping",182641,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,,,,,"Y",,,"059","Kingston Shipping Ltd.",,"China P.R.","N","VRGC8"
15831615,9334882,"Abigail N","01-Sep-2009","Neu Seeschiffahrt","In Service",151448,,,8791,"Atlantic/Pacific",,,,10.72,,53841,,,"Capesize Bulker",,,,"Abigail N",207291,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 76rpm",22,,,,,,,,"081","COMPASS SHIPPING 55 CORPORATION LIMITED",,"United States","N","A8TC7"
11372529,9052343,"MG Shipping","01-Dec-1993","Nippon Yusen Kaisha","Dead/Demolished",151447,2009,"Tanker",6513,,,,"09-Jul-1993",,,45434,,"Y","Diverse",,,,"MG Shipping",133740,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",,"Y",,,,,,,"140",,,"Japan",,"3EHL3"
15743275,9334870,"Baosteel Elaboration","01-Jun-2009","Mitsui OSK Lines","In Service",151094,,,8791,"Atlantic/Pacific",,,"30-Mar-2009",11.65,,53787,,,"Diverse","10-Apr-2022",,,"Baosteel Elaboration",207291,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",20,"Y",,,,,,,"073","ERICA NAVIGATION S.A.",,"Japan","N","3FQY3"
15720605,9331062,"Nova Era","01-Jul-2008","Mitsui OSK Lines","In Service",151094,,,8791,"Atlantic/Pacific",,,"27-May-2008",10.87,,53791,,,"Diverse","17-Aug-2021",,,"Nova Era",207291,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",20,"Y",,,,,,,"069","Erica Navigation S.A.",,"Japan","N","A8PD7"
11370817,9053579,"Guofeng Enterprise","01-Dec-1993","Zodiac Maritime","Dead/Demolished",150981,2010,"Tanker",6871,,,,"28-Aug-1993",,168.5,45294,,,"Diverse",,,,"Guofeng Enterprise",105403,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",23,,,,,,,,"1395","Josen Shipping Inc",,"United Kingdom",,"A8QI8"
16077450,9377391,"COSCO Ansteel","01-Aug-2009","COSCO Shipping Bulk","In Service",150971,,,8791,"Atlantic/Pacific",,,"19-Aug-2009",11.31,,53791,,,"Bulker",,,,"COSCO Ansteel",207291,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 76rpm",,,,,,"Y",,,"083","Sinobright Shipping Ltd",,"China P.R.","N","VRFV5"
15876061,9334909,"New Ansteel","01-Mar-2009","COSCO Shipping Bulk","In Service",150971,,,8791,"Pacific",,,"20-Dec-2008",11.99,,53791,,,"Bulker",,,,"New Ansteel",207291,"1 x FP Propeller (Aft Centre) (mechanical), Nakashima, 76rpm",,,,,,"Y",,,"082","On Hing Shipping Ltd",,"China P.R.","N","VREY3"
15784465,9325295,"Shinwa Maru","01-Sep-2008","NS United KK","In Service",150918,,,8791,"Atlantic",,,"16-Jul-2008",11.36,,53791,,,"Capesize Bulker",,,,"Shinwa Maru",207291,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",20,"Y",,,,,,,"070","NS United Kaiun Kaisha, Ltd.",,"Japan","N","7JPN"
15757669,9322023,"Grande Progresso","01-Jun-2008","K-Line","In Service",150915,,,8791,"Atlantic/Pacific",,,"09-Apr-2008",12.34,,53791,,,"Bulker",,,,"Grande Progresso",207291,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",21,"Y",,,,,,,"068","Kawasaki Kisen Kaisha, Ltd.",,"Japan","N","7JOJ"
15720739,9334894,"Rigel","01-Sep-2009","K-Line","In Service",150836,,,8791,"Atlantic/Pacific",,,"29-Jun-2009",11.58,,53583,,,"Bulker",,,,"Rigel",207291,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,"Y",,,,,,,"077","Rigel Maritime Co., Ltd.",,"Japan","N","7JFD"
15817543,9323572,"Toyokuni","01-Jul-2009","K-Line","In Service",150834,,,8086,"Atlantic/Pacific",,,"16-May-2009",11.26,,53573,,,"Bulker","20-Oct-2019",,,"Toyokuni",207291,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,"Y",,,,,,,"076","TOYOKUNI LINE CO., LTD.",,"Japan","N","7JFC"
11376101,9035450,"Berge Hua Shan","01-Jul-1993","Berge Bulk","Miscellaneous Removal",150170,2010,"Tanker",5133,,,,"18-Feb-1993",,169.57,77465,,,"Capesize Bulker",,,,"Berge Hua Shan",139893,"1 x FP Propeller (Aft Centre) (mechanical), 68rpm",26,,,,,,,,"3029","Berge Hua Shan Co SA",,"Bermuda",,"2GXW6"
11384177,9082312,"Handan Steel","01-Sep-1994","Eastern Pacific Shpg","Dead/Demolished",149282,2009,"Tanker",5569,,0,,"13-May-1994",8.5,170.61,44784,,,"Diverse",,,,"Handan Steel",105781,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",23,,,,,,,,"3049","Berde Shipping No 2 Inc",,"Singapore",,"A8NW7"
11363343,9050230,"Stellar Journey","01-Mar-1994","Polaris Shipping","Miscellaneous Removal",148847,2011,"Tanker",9244.6,,,,"11-Jan-1994",,169.6,44654,,,"Capesize Bulker",,,,"Stellar Journey",139893,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",24,,,,,,,,"3030","Vp-15 Shipping Inc.",,"South Korea",,"V7WF6"
11359667,9038672,"Sinotrader","01-Oct-1993","Sinokor Merchant","Dead/Demolished",148619,2008,"Tanker",5435,,,,"23-Jul-1993",8.13,169.4,44586,,,"Crude/Products Tanker",,,,"Sinotrader",139893,"1 x FP Propeller (Aft Centre) (mechanical), 62rpm",23,,,,,,,,"3028","SINOKOR MERCHANT MARINE CO., LTD.",,"South Korea",,"DSPL5"
11363185,9084190,"Janice N","01-Feb-1995","Neu Seeschiffahrt","Dead/Demolished",148533,2009,"Tanker",5024,,,,"23-Jun-1994",9.58,165.2,44560,,,"Capesize Bulker",,,,"Janice N",102250,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",30,,,,,,,,"2080","GENERAL ORE CARRIER CORPORATION XVI LIMITED",,"United States",,"A8PJ7"
11359791,9038725,"Stellar Daisy","01-Jul-1993","Polaris Shipping","Total Loss",148431,2008,"Tanker",5008,,,,"25-Feb-1993",,164.7,44530,,,"Capesize Bulker",,,,"Stellar Daisy",159797,"1 x FP Propeller (Aft Centre) (mechanical), 84rpm",21,,,,,,,,"2072","VP-14 SHIPPING INC.",,"South Korea",,"V7RD9"
11377861,9041198,"Sinoglory","01-Nov-1992","Sinokor Merchant","Dead/Demolished",148257,2009,"Tanker",5021,,,,"10-Jul-1992",8.6,165.2,44778,,,"Crude/Products Tanker",,,,"Sinoglory",188476,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,,,,,,,,"2068","SINOKOR MERCHANT MARINE CO., LTD.",,"South Korea",,"DSPN4"
11401867,9110224,"Pacific Coral","01-Dec-1995","Cido Shipping","Dead/Demolished",148169,2011,"Tanker",4660,,,,"16-Oct-1995",12.68,164.68,44451,,"Y","Vehicle Carrier",,,,"Pacific Coral",167847,"1 x FP Propeller (Aft Centre) (mechanical), 75rpm",24,,,,,,,,"401","Brave Horse Shipping Inc.",,"Hong Kong",,"VRET3"
11378789,9073438,"Berge Kangchenjunga","01-Mar-1994","Berge Bulk","Dead/Demolished",148159,2010,"Tanker",4699,,,,"19-Nov-1993",11.47,165.2,79645,,,"Capesize Bulker","31-Oct-2018",,,"Berge Kangchenjunga",102270,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",25,,,,,,,,"2077","Berge Kangchenjunga Co Inc",,"Bermuda",,"2HCG2"
11365347,9043720,"Pacific Ruby","01-Dec-1993","Cido Shipping","Dead/Demolished",147902,2008,"Tanker",5489,,,,"02-Aug-1993",11.99,164.68,44370,,,"Vehicle Carrier",,,,"Pacific Ruby",102484,"1 x FP Propeller (Aft Centre) (mechanical), 75rpm",22,,,,,,,,"387","Dynamic Speedy Marine S.A.",,"Hong Kong",,"VRZD9"
11329657,8908284,"Stellar Fair","01-May-1990","Polaris Shipping","Dead/Demolished",147817,2009,"Tanker",4723,,,,"25-Dec-1989",,164.5,44345,,"Y","Capesize Bulker",,,,"Stellar Fair",159385,"1 x FP Propeller (Aft Centre) (mechanical), 73rpm",23,,,,,,,,"375","Ltsf Pr1 Inc.",,"South Korea",,"3EWP9"
11389701,9082350,"Hulk","01-Sep-1995","Lyra Trading","Dead/Demolished",147812,2009,"Tanker",,,0,,,,164.8,44343,,,,,,,"Hulk",102270,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",22,,,,,,,,"2086",,,"Liberia",,"D6A2602"
11358323,9038438,"Stellar Galaxy","01-Mar-1993","Polaris Shipping","Dead/Demolished",147697,2010,"Tanker",4928,,,,"19-Sep-1992",9.02,164.8,44309,,"Y","Capesize Bulker",,,,"Stellar Galaxy",162279,"1 x FP Propeller (Aft Centre) (mechanical), 84rpm",23,,,,,,,,"2071","GALAXY MARITIME LINE S.A.",,"South Korea",,"H9NE"
11364979,9042685,"Atlantic Carrier","01-Aug-1993","Sinokor Merchant","Dead/Demolished",147665,2008,"Tanker",5961,,,,,,169.5,76310,,,"Crude/Products Tanker",,,,"Atlantic Carrier",139893,"1 x FP Propeller (Aft Centre) (mechanical), 62rpm",21,,,,,,,,"3031",,,"South Korea",,"H9CA"
11347851,9012252,"Sinocarrier","01-Aug-1992","Sinokor Merchant","Dead/Demolished",147303,2008,"Tanker",5293,,,,"20-Apr-1992",8.27,164.64,44190,,"Y","Crude/Products Tanker",,,,"Sinocarrier",157274,"1 x FP Propeller (Aft Centre) (mechanical), 73rpm",20,,,,,,,,"384","SINOKOR MERCHANT MARINE CO., LTD.",,"South Korea",,"DSRM6"
11415543,9122590,"Berge Fuji","01-Mar-1996","Berge Bulk","In Service",145963,2009,"Tanker",4330,"Pacific",,,,10.96,166,90341,,,"Capesize Bulker","26-Mar-2020",,,"Berge Fuji",95753,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",21,,,,,,,,"4861","Berge Mauna Kea Company S.A.",,"Bermuda",,"2FSC2"
11336963,9000352,"Berge Manaslu","01-Jan-1992","Berge Bulk","Dead/Demolished",145403,2010,"Tanker",5535,,,,"30-Sep-1991",,172.1,98440,,,"Capesize Bulker",,,,"Berge Manaslu",105909,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",26,,,,,,,,"1424","Ridgely Co SA",,"Bermuda",,"3FQP7"
11342643,9003122,"HBIS Sunrise","01-Sep-1992","Sinokor Merchant","Dead/Demolished",145217,2010,"Tanker",5204,,,,"16-May-1992",,166.4,77019,,,"Crude/Products Tanker",,,,"HBIS Sunrise",150807,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",21,,,,,,,,"2054","HBIS SUNRISE 1 S. A.",,"South Korea",,"3EWU9"
11386047,9083964,"Berge Lhotse","01-Mar-1995","Berge Bulk","Dead/Demolished",144149,2010,"Tanker",4265,,,,,10.34,167.76,90277,,,"Capesize Bulker",,,,"Berge Lhotse",115377,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",28,,,,,,,,"5688","Berge Lhotse Company S.A.",,"Bermuda",,"V4GV4"
11342519,9032642,"Atlantic Trader","01-Mar-1993","Sinokor Merchant","Dead/Demolished",140211,2008,"Tanker",5133,,,,"04-Dec-1992",,158.8,42066,,,"Crude/Products Tanker",,,,"Atlantic Trader",153497,"1 x FP Propeller (Aft Centre) (mechanical), 65rpm",21,,,,,,,,"3025","Atlantic Trader SA",,"South Korea",,"D8CB"
11336255,9002673,"Atlantic Merchant","01-Mar-1992","Sinokor Merchant","Dead/Demolished",138172,2009,"Tanker",4400,,,,"30-Mar-1992",,164.62,41451,,,"Crude/Products Tanker",,,,"Atlantic Merchant",158000,"1 x FP Propeller (Aft Centre) (mechanical), 72rpm",,,,,,,,,"4854",,,"South Korea",,"3FWG"
11317425,8812667,"Home","01-Nov-1989","Machtrans","Dead/Demolished",137893,2009,"Tanker",4814,,,,"19-Aug-1989",,151.9,76471,,,,,,,"Home",104142,"1 x FP Propeller (Aft Centre) (mechanical), 56rpm",,,,,,,,,"2024","Best Beyond Investment Ltd",,"India"
12774759,9237230,"XH Voyager","01-Jul-2002","Zhejiang Xiehai Shpg","In Service",118305,,,6852,"Atlantic/Pacific",,,"29-Mar-2002",12.01,,47935,,"Y","Handysize Bulker",,,,"XH Voyager",152812,"1 x FP Propeller (Aft Centre) (mechanical), 79rpm",22,,,,,,,,"8008",,,"China P.R.","N","5LDN5"
14952139,9270567,"Cape Toucan","01-Jun-2004","Zodiac Maritime","In Service",118249,,,6875,"Atlantic/Pacific",,,"12-Mar-2004",11.02,,47943,,"Y","Diverse","05-Sep-2019",,,"Cape Toucan",152812,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",21,,,,,,,,"8021","POLGRYN SHIPPING INC.",,"United Kingdom","N","D5UH2"
12772047,8802923,"Ore Vitoria","01-Aug-1989","Vale","Dead/Demolished",116427,,,,,,,"26-Apr-1989",,,43774,,"Y","Tug",,,,"Ore Vitoria",15658,"1 x FP Propeller (Aft Centre) (mechanical), 56rpm",23,"Y",,,"Y",,,,"114","Seamar Shipping Corporation",,"Brazil","N","A8TP9"
16042029,9362970,"Baosteel Education","01-Mar-2009","Mitsui OSK Lines","In Service",113971,,,7930,"Pacific",,,"25-Jan-2009",10.18,,44001,,,"Diverse","04-Apr-2019",,,"Baosteel Education",152364,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",20,"Y",,,,,,,"280","MITSUI O.S.K. LINES, LTD.",,"Japan","N","7JRI"
15835455,9335862,"Chiyotamou","01-Jun-2008","Doun Kisen","In Service",113932,,,7930,"Atlantic/Pacific",,,"21-Mar-2008",12.18,,43997,,,"Bulker","29-Sep-2019",,,"Chiyotamou",152364,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",,,"Y",,,,,,"278","G.O.D. SHIPPING S.A.",,"Japan","N","3ERE4"
16042032,9374143,"Spring Sweetbrier","01-Jul-2009","Shunzan Kaiun","In Service",113932,,,7930,"Pacific",,,"26-Mar-2009",11.94,,43997,,,"Bulker","25-Dec-2019",,,"Spring Sweetbrier",152364,"1 x FP Propeller (Aft Centre) (mechanical), 76rpm",20,,,,,,,,"281","Primavera Montana S.A.",,"Japan","N","3EXR4"
