16293773,,16.1,"Trial Speed",,"D",,"Takamatsu",,,"Bright Star Shpgmngt",,"01-Oct-2017",,,,"Shikoku Dock.","Mitsui Eng & SB",,,,,"Y","Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 99rpm"
16293786,,15.8,"Service",,"D",,"Hakodate",,,"M/Maritime",,"20-Dec-2016",,,,"Hakodate Dock","Namura Zosensho",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x ac generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16293799,,11.5,"Eco-Speed - Laden",,"D",,"Hakodate",,,"Misuga Kaiun Co Ltd",,"01-Aug-2021",,,,"Hakodate Dock","Namura Zosensho",,,,,,"Fitted",,,,"FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 2,250ekW total, (2,812.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm"
16011841,,14.5,"Service",,,,"Visakhapatnam",,,"Xiamen Huanhangshun","Y","01-Oct-2021","N",,,"Hindustan S.Y.","Hindustan S.Y.",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 4L20 - 4-stroke 4-cyl. 200mm x 280mm bore/stroke 2,220mkW total at 900rpm driving 3 x AC generator(s) at 2,040ekW total, (2,550kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical) (Ni-Al Bronze (Cu3)), 124rpm",,,,19.2,20.8
16039061,,14.5,"Service",,,,"Hai Phong",,,"Truong Minh Intl JSC","Y","01-Apr-2017","N",,,"Nam Trieu SB","Vietnam SBIC",,,,,,,,,,,4,,"3 x Aux. Diesel Gen. - Daihatsu 5DC-17Ae - 4-stroke 5-cyl. 170mm x 270mm bore/stroke 1,470mkW total at 900rpm driving 3 x ac generator(s) at 1,290ekW total, (1,612.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 116rpm"
16069989,,14.3,"Service",,,"N","Hakodate",,,"Blumenthal, Johann","N","01-Apr-2014","N",,,"Hakodate Dock","Namura Zosensho",,,,,,,,,,,,,"2 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,600mkW total at 900rpm driving 2 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 129rpm",,,,19.55,19.6
16077292,"GOGL",14,"Service",,,,"Pipavav",,,"Thome & Co",,"01-Jun-2017","Y","1C",,"Reliance Engineering","Reliance Infra",,,,,,"Fitted",,,"20-Dec-2021","FILTRATION - ELECTROLYSIS (ELECTRO-CHLORINATION) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Wartsila 4-stroke 4L20 - 4-stroke 4-cyl. 200mm x 280mm bore/stroke 2,280mkW total at 1,000rpm driving 2 x AC generator(s) at 1,466ekW total, (1,832kVA total) at 50Hz",,"1 x FP Propeller (Aft Centre) (mechanical), Silla Metal, 105rpm, Ø6.80m",,,,17.1,15.03
16287848,,15.4,"Trial Speed",,"D",,"Hakodate",,,"Canbaz Denizcilik",,"01-Jul-2021",,,,"Hakodate Dock","Namura Zosensho",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16287851,,14.5,"Service",,"M",,"Zhoushan",,,"Anglo-Eastern Group",,"01-May-2015",,,,"Zhejiang Ouhua SB","Zhejiang Ouhua SB",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x Hyundai Electric HFC6 504-84K - AC generator(s) at 1,950ekW total, (2,437.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,,15.48,15
16287864,,14,"Laden",,"M",,"Zhoushan",,,"Seacon Ships",,"01-Jun-2015",,,,"Zhejiang Ouhua SB","Zhejiang Ouhua SB",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,580mkW total at 900rpm driving 3 x ac generator(s) at 1,950ekW total, (2,437.50kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 91rpm",,,,15.48,15
16287927,,14.9,"Trial Speed",,"Y",,"Tadotsu",,,"Golden Union",,"01-Aug-2015",,,,"Tadotsu Shipyard","Imabari Shipbuilding",,,,,,"Fitted",,,,"FILTRATION - DISINFECTION (INJECTION DISINFECTANT) - NEUTRALIZATION",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288108,,16.1,"Trial Speed",,"M",,"Imabari",,,"Misuga Kaiun Co Ltd",,"01-Oct-2015",,,,"Shin Kurushima","Shin Kurushima Group",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical), 116rpm"
16288124,,16,"Trial Speed",,"M",,"Imabari",,,"Kobe Shipping",,"01-Jan-2016",,,,"Shin Kurushima","Shin Kurushima Group",,,,,,"Fitted",,,"03-Dec-2020",,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical), 116rpm"
16288137,,16.1,"Trial Speed",,"M",,"Imabari",,,"Fortius Shpmngt",,"01-Apr-2016",,,,"Shin Kurushima","Shin Kurushima Group",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288179,,14.58,"Maximum Speed",,"D",,"Zhoushan",,,"SM Group",,"01-Nov-2016",,,,"Zhejiang Yangfan","Yangfan Group",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,040mkW total at 720rpm driving 3 x AC generator(s) at 1,935ekW total, (2,418kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 89rpm",14.58
16288182,"CMRE",12,"Eco-Speed - Laden",,"D",,"Zhoushan",,,"Fleet Management",,"01-Jul-2021",,,,"Zhejiang Yangfan","Yangfan Group",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 105rpm"
16288203,"2637",14.5,"Service",,"D",,"Imari",,,"Wisdom Marine Group",,"01-Jul-2017",,,,"Namura Shipbuilding","Namura Zosensho",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 1,980mkW total at 900rpm driving 3 x Taiyo FE 547A-8 - AC generator(s) at 1,650ekW total, (2,062.50kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 89rpm"
16288311,,15.15,"Service",,"M",,"Kudamatsu",,,"Meghna Group",,"01-Nov-2021",,,,"Shin Kasado Dock","Imabari Shipbuilding",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16288324,,14.5,"Service",,"M",,"Kudamatsu",,,"Orion Reederei",,"01-Dec-2020",,,,"Shin Kasado Dock","Imabari Shipbuilding",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - Daihatsu 6DE-18 - 4-stroke 6-cyl. 185mm x 280mm bore/stroke 2,424mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 108rpm"
16288629,,14.5,"Service",,"M",,"Ningbo",,,"Franco Comp. Nav.",,"01-May-2015",,,,"Sinopacific Zhejiang","Sinopacific Zhejiang",,,,,,"Fitted",,,,"ELECTROLYSIS (ELECTRO-CHLORINATION)",,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x ac generator(s)",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288632,,13,"Laden",,"M",,"Ningbo",,,"Unimor Shipping",,"01-Oct-2015",,,,"Sinopacific Zhejiang","Sinopacific Zhejiang",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 2,040ekW total, (2,550kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288645,,14.25,"Service",,"M",,"Ningbo",,,"Unimor Shipping",,"01-Mar-2016",,,,"Sinopacific Zhejiang","Sinopacific Zhejiang",,,,,,"Fitted",,,,,,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 2,040ekW total, (2,550kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288661,,14,"Laden",,"Y",,"Taizhou",,,"Tiger Group","Y","01-Jul-2015",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,800ekW total, (2,250kVA total)",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288674,,14,"Laden",,"Y",,"Taizhou",,,"Tiger Group","Y","01-Aug-2015",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288687,,14,"Laden",,"Y",,"Taizhou",,,"Tiger Group","Y","01-Oct-2015",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x AC generator(s) at 1,800ekW total, (2,250kVA total) 450V at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288690,,14.2,"Service",,"Y",,"Taizhou",,,"Yangzijiang Holdings","Y","01-Nov-2014",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 84.30rpm"
16288708,,13.5,"Laden",,"Y",,"Taizhou",,,"Yangzijiang Holdings","Y","01-Nov-2014",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)"
16288711,,13.5,"Laden",,"Y",,"Taizhou",,,"Yangzijiang Holdings","Y","01-Jan-2015",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 1,800ekW total, (2,250kVA total) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical)",,,,22.96,18.26
16288724,"1606",14.2,"Service",,"M",,"Taizhou",,,"Wah Kwong Shpg","Y","01-Sep-2018",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - Yanmar 6EY18ALW - 4-stroke 6-cyl. 180mm x 280mm bore/stroke 2,400mkW total at 900rpm driving 3 x AC generator(s) at 60Hz",,"1 x FP Propeller (Aft Centre) (mechanical), 89rpm",,,,22.96,18.26
16288737,"CMRE",14.2,"Service",,"Y",,"Taizhou",,,"Costamare Shipping","Y","01-Dec-2021",,,,"Jiangsu New YZJ","Yangzijiang Holdings",,,,,,"Fitted",,,,"FILTRATION - OXIDATION (ELECTROCATALYSIS) -  ULTRASOUND",4,,"3 x Aux. Diesel Gen. - 4-stroke  driving 3 x generator(s) at 1,800ekW total, (2,250kVA total)",,"1 x FP Propeller (Aft Centre) (mechanical)",,,,22.96,18.26
